##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;エラー:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;;エラー:510;X
LANGUAGE;English;English;;;;;;;;;X
#########################################;;;;;;;;;;;X
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;X
#########################################;;;;;;;;;;;X
##;;;;;;;;;;;X
#MENU;Menu;;;;;;;;;;X
#MENU;;;;;;;;;;;X
GOTO;確認する;Goto;;;;;;;;;X
CANCEL;キャンセル;Cancel;;;;;;;;;X
DEFAULT;デフォルト;Default;;;;;;;;;X
BACK;戻る;Back;;;;;;;;;X
OK;OK;OK;;;;;;;;;X
NONE;なし;none;;;;;;;;;X
NOFILE;そのようなファイルはありません！;No such file!;;;;;;;;;X
NO;いいえ;No;;;;;;;;;X
YES;はい;Yes;;;;;;;;;X
#  NOTE there should be a space both before and after the 'and' in the following string.;;;;;;;;;;;X
INVAND; と ; and ;;;;;;;;;X
#  NOTE there should be a space after the 'with' in the following string.;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
GOTOBOX;検索するプロヴィンスの名前を入力してください。;Please enter the name of the province you wish to find.;;;;;;;;;X
GOTOBOX_FAIL;そのようなプロヴィンスは存在しません。検索するプロヴィンスの名前を入力してください。;There is no such province, please enter the name of the province you wish to find.;;;;;;;;;X
MP_OK;ステータスOK;Status OK;;;;;;;;;X
MP_WAITING;接続しています……;Connecting...;;;;;;;;;X
##;;;;;;;;;;;X
#  EVENT WINDOW STRINGS;;;;;;;;;;;X
##;;;;;;;;;;;X
EVENTWINDOW_GOTO;Goto;Goto;;;;;;;;;X
EVENTWINDOW_CLOSE;Close;Close;;;;;;;;;X
##;;;;;;;;;;;X
#  MONTHS;;;;;;;;;;;X
##;;;;;;;;;;;X
JANUARY;1;January;;;;;;;;;X
FEBRUARY;2;February;;;;;;;;;X
MARCH;3;March;;;;;;;;;X
APRIL;4;April;;;;;;;;;X
MAY;5;May;;;;;;;;;X
JUNE;6;June;;;;;;;;;X
JULY;7;July;;;;;;;;;X
AUGUST;8;August;;;;;;;;;X
SEPTEMBER;9;September;;;;;;;;;X
OCTOBER;10;October;;;;;;;;;X
NOVEMBER;11;November;;;;;;;;;X
DECEMBER;12;December;;;;;;;;;X
##;;;;;;;;;;;X
JAN;1;JAN;;;;;;;;;X
FEB;2;FEB;;;;;;;;;X
MAR;3;MAR;;;;;;;;;X
APR;4;APR;;;;;;;;;X
MAYS;5;MAY;;;;;;;;;X
JUN;6;JUN;;;;;;;;;X
JUL;7;JUL;;;;;;;;;X
AUG;8;AUG;;;;;;;;;X
SEP;9;SEP;;;;;;;;;X
OCT;10;OCT;;;;;;;;;X
NOV;11;NOV;;;;;;;;;X
DEC;12;DEC;;;;;;;;;X
##;;;;;;;;;;;X
BORDER;国境;Border between countries;;;;;;;;;X
##;;;;;;;;;;;X
CHAR_BILLION;G;G;;;;;;;;;X
CHAR_MILLION;M;M;;;;;;;;;X
CHAR_THOUSAND;K;K;;;;;;;;;X
##;;;;;;;;;;;X
RESOURCE_OIL;石油;Oil;;;;;;;;;X
RESOURCE_METAL;金属;Metal;;;;;;;;;X
RESOURCE_RARE_MATERIALS;希少資源;Rare Materials;;;;;;;;;X
RESOURCE_MONEY;資金;Money;;;;;;;;;X
RESOURCE_TC;輸送能力;Transport Capacity;;;;;;;;;X
RESOURCE_MANPOWER;労働力;Manpower;;;;;;;;;X
RESOURCE_ENERGY;エネルギー;Energy;;;;;;;;;X
RESOURCE_IC;工業力;Industrial Capacity;;;;;;;;;X
RESOURCE_SUPPLY;物資;Supplies;;;;;;;;;X
RESOURCE_DISSENT;国民不満度;Dissent;;;;;;;;;X
NUKE_NEXT;次のG弾は%sに完成します。;Our next atomic bomb will be ready at %s.;;;;;;;;;X
NUKES;G弾;Nuclear Bombs;;;;;;;;;X
NUKES_UNKNOWN;G弾の製造方法はまだ明らかになっていません。;We do not know how to produce A-Bombs yet.;;;;;;;;;X
