Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ヴォルフガング・アルテンブルク;520000;U02;1973;1979;1983;2100;1;7;128;1;0;5;0;M506070;1973;1989;x
エッカート・アフヘルト;520001;U02;1971;2100;2100;2100;3;5;128;0;0;5;0;L506001;1971;1981;x
ハルトムート・バッガー;520002;U02;1988;1992;1996;2100;1;7;4;2;0;5;0;M506073;1988;1999;x
ゲルハルト・バルクホルン;520003;U02;1969;1975;2100;2100;3;7;4096;3;0;5;0;L506003;1969;1975;x
ゲルト・バスティアン;520004;U02;1970;2100;2100;2100;3;5;0;1;0;5;0;L506004;1970;1980;x
エルハルト・ビューラー;520005;U02;2003;2100;2100;2100;3;6;128;1;0;5;0;L506005;2003;2100;x
ヨハン・コンドネ;520006;U02;1970;2100;2100;2100;3;6;128;1;0;5;0;L506006;1970;1979;x
エーベルハルト・エイムラー;520007;U02;1976;1980;1987;2100;1;7;0;1;0;5;2;M506113;1976;1990;x
ハインツ＝オットー・ファビアン;520008;U02;1970;2100;2100;2100;3;6;2;1;0;5;0;L506008;1970;1974;x
カール＝ハインツ・グレーヴェ;520009;U02;1967;1974;2100;2100;2;6;131072;1;0;5;2;L506009;1967;1974;x
ハインツ＝ギュンター・グデーリアン;520010;U02;1970;2100;2100;2100;3;7;128;2;0;5;0;L506010;1970;1974;x
ラインハルト・ギュンツェル;520011;U02;2000;2100;2100;2100;3;6;256;1;0;5;0;L506011;2000;2003;x
ヘルゲ・ハンセン;520012;U02;1982;1990;1994;2100;1;7;128;2;0;5;0;M506088;1982;1996;x
ヘルムート・ハウサー;520013;U02;1964;1968;2100;2100;2;6;16384;1;0;5;0;L506013;1964;1974;x
ノルベルト・ファン・ヘイスト;520014;U02;1993;2002;2100;2100;2;6;128;1;0;5;0;L506014;1993;2005;x
エーリヒ・ホッハーゲン;520015;U02;1970;2100;2100;2100;3;7;8192;2;0;5;2;L506015;1970;1974;x
カールステン・ヤコブソン;520016;U02;2006;2100;2100;2100;3;6;128;1;0;5;0;L506016;2006;2020;x
ギュンター・キースリング;520017;U02;1971;1979;1985;2100;1;7;132;2;0;5;0;L506017;1971;1984;x
フリードリヒ・ケーナー;520018;U02;1970;2100;2100;2100;3;6;8192;1;0;5;2;L506018;1970;1979;x
ヴァルター・クルピンスキー;520019;U02;1966;1974;2100;2100;2;7;4096;1;0;5;2;L506019;1966;1976;x
イェルク・クーバルト;520020;U02;1979;1989;2100;2100;2;6;16384;1;0;5;2;M506115;1979;1994;x
ハラルド・クヤート;520021;U02;1992;1998;2000;2100;1;7;3;2;0;5;0;M506076;1992;2005;x
ハインツ＝ゲオルク・レム;520022;U02;1963;1970;2100;2100;2;6;128;1;0;5;0;L506022;1963;1979;x
ハンス＝ヨアヒム・レーザー;520023;U02;1971;2100;2100;2100;3;6;4;1;0;5;0;L506023;1971;1974;x
ベルント・フライターク・フォン・ローリングホーフェン;520024;U02;1963;1973;2100;2100;3;6;128;1;0;5;0;L506024;1963;1974;x
ハンス＝ヨアヒム・マック;520025;U02;1975;1983;1984;2100;1;7;128;1;0;5;0;L506025;1975;1987;x
ヴィルヘルム・メイン;520026;U02;1969;2100;2100;2100;3;6;8192;2;0;5;2;L506026;1969;1979;x
アルフレート・ミュラー;520027;U02;1969;2100;2100;2100;3;6;132;2;0;5;0;L506027;1969;1975;x
クラウス・ナウマン;520028;U02;1986;1989;1991;2100;1;7;4;2;0;5;0;M506072;1986;1999;x
フリードリヒ・オブレサー;520029;U02;1971;1976;2100;2100;2;7;4096;2;0;5;2;M506111;1971;1983;x
ヨハネス・ポッペル;520030;U02;1971;1979;2100;2100;2;7;64;1;0;5;0;M506082;1971;1981;x
フランツ・ペッシュル;520031;U02;1965;1973;2100;2100;2;7;256;2;0;5;0;L506031;1965;1978;x
ギュンター・ラル;520032;U02;1970;1970;2100;2100;2;7;4096;3;0;5;2;M506010;1970;1975;x
エゴン・ラムズ;520033;U02;1996;2004;2007;2100;1;7;128;1;0;5;0;L506033;1996;2010;x
クラウス・ラインハルト;520034;U02;1988;1993;1998;2100;1;7;256;2;0;5;0;L506034;1988;2020;x
リヒャルト・ロスマニス;520035;U02;2003;2012;2100;2100;2;6;128;1;0;5;0;L506035;2003;2020;x
ホルスト・ルダート;520036;U02;1970;2100;2100;2100;3;6;16384;1;0;5;2;L506036;1970;1980;x
ゲルト・シュミュクレ;520037;U02;1970;1974;1978;2100;1;7;128;2;0;5;0;L506037;1970;1980;x
ヴォルフガング・シュナイダーハン;520038;U02;1996;2000;2002;2100;1;7;130;2;0;5;0;M506077;1996;2009;x
イェルク・シェーンボーム;520039;U02;1985;1989;2100;2100;2;6;132;1;0;5;0;M506087;1985;1996;x
ゲルト・シュルツェ＝ローンホフ;520040;U02;1985;2100;2100;2100;3;6;128;1;0;5;0;L506040;1985;1996;x
フェルディナント・フォン・ゼンガー・ウント・エッターリン;520041;U02;1970;1978;1979;2100;1;7;136;2;0;5;0;L506041;1970;1984;x
ベルトルト・マリア・シェンク・フォン・シュタウフェンベルク;520042;U02;1982;2100;2100;2100;3;6;128;1;0;5;0;L506042;1982;1994;x
アルベルト・シュテッケン;520043;U02;1964;2100;2100;2100;3;6;256;1;0;5;0;L506043;1964;1977;x
ヨハネス・シュタインホフ;520044;U02;1956;1965;1971;2100;1;8;4096;3;0;5;2;L506044;1956;1974;x
ディーター・シュテックマン;520045;U02;1989;1993;1996;2100;1;7;2;1;0;5;0;L506045;1989;2002;x
ハンス・テウセン;520046;U02;1971;2100;2100;2100;3;7;384;2;0;5;0;L506046;1971;1977;x
ギュンター・フォルマー;520047;U02;1970;2100;2100;2100;3;6;0;1;0;5;0;L506047;1970;1977;x
イェルク・フォルマー;520048;U02;2006;2100;2100;2100;3;7;16;1;0;5;0;L506048;2006;2020;x
ギュンター・ヴェイラー;520049;U02;1999;2006;2100;2100;2;6;128;1;0;5;0;L506049;1999;2013;x
ヴェレナ・フォン・ヴェイマン;520050;U02;1989;1993;1994;2100;1;3;0;0;0;5;2;L506050;1989;2004;x
フォルカー・ヴィーカー;520051;U02;1999;2008;2010;2100;1;7;130;2;0;5;0;M506079;1999;2020;x
エデル＝ハインリヒ・ツァハリーエ＝リンゲンタール;520052;U02;1970;1990;2100;2100;3;6;128;1;0;5;0;L506052;1970;1975;x
カール＝ハインツ・ビルンバッハー;520053;U02;1970;2100;2100;2100;3;6;0;1;0;5;1;L506053;1970;1974;x
ライナー・フェイスト;520054;U02;1998;2000;2002;2100;1;7;2048;1;0;5;1;L506054;1998;2004;x
