Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;ExU03ience;Loyalty;Type;PicU03e;Start Year;End Year;x
アクバル・カーン;7002000;U03;1973;1998;2004;2012;3;4;1;1;0;3;0;L280000;1973;2100;x
バルドルチ;7002001;U03;1973;1998;2004;2012;3;4;4;0;0;5;0;L280001;1973;2100;x
ダウド;7002002;U03;1973;1998;2004;2012;2;5;262271;3;0;5;0;L280002;1973;2100;x
エテマディ・カーン;7002003;U03;1973;1998;2004;2012;3;3;16;0;0;5;0;L280003;1973;2100;x
ガーニ・カーン;7002004;U03;1973;1998;2004;2012;2;4;1;2;0;5;0;L280004;1973;2100;x
ゴラム・ワリ;7002005;U03;1973;1998;2004;2012;3;4;256;0;0;5;0;L280005;1973;2100;x
ゴーズハム・カーン;7002006;U03;1973;1998;2004;2012;2;3;2;2;0;2;0;L280006;1973;2100;x
ハシム・カーン;7002007;U03;1973;1998;2004;2012;2;4;2;3;0;5;0;L280007;1973;2100;x
フサイン;7002008;U03;1973;1998;2004;2012;3;4;4;1;0;5;0;L280008;1973;2100;x
マズハラム・カーン;7002009;U03;1973;1998;2004;2012;3;4;16;0;0;3;0;L280009;1973;2100;x
セライ・カーン;7002010;U03;1973;1998;2004;2012;2;4;16;2;0;5;0;L280010;1973;2100;x
セルゲンテ;7002011;U03;1973;1998;2004;2012;3;5;262399;0;0;5;0;L280011;1973;2100;x
シャー・ガージ;7002012;U03;1973;1998;2004;2012;1;3;0;2;0;5;0;L280012;1973;2100;x
スレイマン・カーン;7002013;U03;1973;1998;2004;2012;2;4;16;0;0;5;0;L280013;1973;2100;x
タルジ・カーン;7002014;U03;1973;1998;2004;2012;3;3;16;1;0;5;0;L280014;1973;2100;x
ワリ・カーン;7002015;U03;1973;1998;2004;2012;1;3;64;1;0;5;0;L280015;1973;2100;x
ユヌス・カーン;7002016;U03;1973;1998;2004;2012;2;4;17;1;0;5;0;L280016;1973;2100;x
ザヒール;7002017;U03;1973;1998;2004;2012;1;4;0;2;0;5;0;L280017;1973;2100;x
フサイン;7002018;U03;1973;1998;2004;2012;3;2;0;1;0;5;1;L280018;1973;2100;x
ワリ・カーン;7002019;U03;1973;1998;2004;2012;2;2;512;1;0;5;1;L280019;1973;2100;x
ザヒール;7002020;U03;1973;1998;2004;2012;1;2;0;2;0;5;1;L280020;1973;2100;x
ダウド;7002021;U03;1973;1998;2004;2012;2;2;0;2;0;5;2;L280021;1973;2100;x
フェデリコ;7002022;U03;1973;1998;2004;2012;3;4;0;0;0;4;2;L280022;1973;2100;x
シェンク;7002023;U03;1973;1998;2004;2012;3;4;16384;1;0;5;2;L280023;1973;2100;x
セラフィニ;7002024;U03;1973;1998;2004;2012;3;5;4096;0;0;5;2;L280024;1973;2100;x
ザヒール;7002025;U03;1973;1998;2004;2012;1;3;0;2;0;5;2;L280025;1973;2100;x
アロン;7002026;U03;1973;1998;2004;2012;1;8;262271;3;0;5;0;M559008;1973;2100;x
ボイハリン;7002027;U03;1973;1998;2004;2012;3;4;1;1;0;5;0;L559001;1973;2100;x
ダヤン;7002028;U03;1973;1998;2004;2012;2;8;262399;3;0;5;0;L559002;1973;2100;x
エレアザル;7002029;U03;1973;1998;2004;2012;1;7;262399;3;0;5;0;L559003;1973;2100;x
ガナニ;7002030;U03;1973;1998;2004;2012;3;4;128;1;0;5;0;L559004;1973;2100;x
グロロウィッツ;7002031;U03;1973;1998;2004;2012;3;4;0;1;0;5;0;L559005;1973;2100;x
グルンワルド;7002032;U03;1973;1998;2004;2012;3;4;256;1;0;5;0;M559044;1973;2100;x
ハルカビ;7002033;U03;1973;1998;2004;2012;2;5;262271;2;0;5;0;M559039;1973;2100;x
ヘルツル;7002034;U03;1973;1998;2004;2012;3;2;0;1;0;5;0;L559008;1973;2100;x
ラスコヴ;7002035;U03;1973;1998;2004;2012;1;7;262527;3;0;5;0;M559010;1973;2100;x
モファズ;7002036;U03;1973;1998;2004;2012;3;3;1;1;0;5;0;L559010;1973;2100;x
ナルキス;7002037;U03;1973;1998;2004;2012;2;5;262271;2;0;5;0;L559011;1973;2100;x
ラビン;7002038;U03;1973;1998;2004;2012;2;8;262655;3;0;5;0;L559012;1973;2100;x
ローゼンガーテン;7002039;U03;1973;1998;2004;2012;3;6;262271;1;0;5;0;M559041;1973;2100;x
サデー;7002040;U03;1973;1998;2004;2012;1;7;262271;3;0;5;0;L559014;1973;2100;x
サリク;7002041;U03;1973;1998;2004;2012;2;8;262527;2;0;5;0;L559015;1973;2100;x
シャロン;7002042;U03;1973;1998;2004;2012;2;6;262271;3;0;5;0;L559016;1973;2100;x
シェロット;7002043;U03;1973;1998;2004;2012;3;4;2;1;0;5;0;L559017;1973;2100;x
シルバースタイン;7002044;U03;1973;1998;2004;2012;3;4;64;1;0;5;0;L559018;1973;2100;x
シルヴァースタイン;7002045;U03;1973;1998;2004;2012;2;4;1;2;0;5;0;M559040;1973;2100;x
スターン;7002046;U03;1973;1998;2004;2012;3;4;1;1;0;5;0;L559020;1973;2100;x
タネンバウム;7002047;U03;1973;1998;2004;2012;3;4;128;1;0;5;0;L559021;1973;2100;x
タヴォリル;7002048;U03;1973;1998;2004;2012;2;3;0;1;0;5;0;L559022;1973;2100;x
ヤディン;7002049;U03;1973;1998;2004;2012;1;6;262271;3;0;5;0;M559007;1973;2100;x
ザハリ;7002050;U03;1973;1998;2004;2012;3;2;2;1;0;5;0;M559038;1973;2100;x
ゾレフ;7002051;U03;1973;1998;2004;2012;2;7;262271;2;0;5;0;M559043;1973;2100;x
バーナト;7002052;U03;1973;1998;2004;2012;3;4;8192;1;0;5;1;L559026;1973;2100;x
グルンワルド;7002053;U03;1973;1998;2004;2012;3;3;2048;1;0;5;1;M559044;1973;2100;x
クレリッツ;7002054;U03;1973;1998;2004;2012;3;4;1024;1;0;5;1;M559045;1973;2100;x
マチュヴ;7002055;U03;1973;1998;2004;2012;3;3;1024;1;0;5;1;L559029;1973;2100;x
マトゥック;7002056;U03;1973;1998;2004;2012;2;4;0;2;0;5;1;L559030;1973;2100;x
サヤル;7002057;U03;1973;1998;2004;2012;3;3;0;1;0;5;1;L559031;1973;2100;x
ヤアリ;7002058;U03;1973;1998;2004;2012;1;5;4096;3;0;5;1;M559009;1973;2100;x
ベン・エリアフ;7002059;U03;1973;1998;2004;2012;3;4;0;1;0;5;2;L559033;1973;2100;x
ファルカシュ;7002060;U03;1973;1998;2004;2012;3;3;8192;1;0;5;2;L559034;1973;2100;x
ハローツ;7002061;U03;1973;1998;2004;2012;3;3;0;1;0;5;2;L559035;1973;2100;x
ケダール;7002062;U03;1973;1998;2004;2012;3;4;131072;1;0;5;2;L559036;1973;2100;x
ラスコヴ;7002063;U03;1973;1998;2004;2012;1;5;0;3;0;5;2;M559010;1973;2100;x
マギー;7002064;U03;1973;1998;2004;2012;2;4;16384;2;0;5;2;M559046;1973;2100;x
トランペルダー;7002065;U03;1973;1998;2004;2012;3;3;4096;1;0;5;2;L559039;1973;2100;x
ウルフ;7002066;U03;1973;1998;2004;2012;2;4;4096;2;0;5;2;M559047;1973;2100;x
アブン・フセイン;7002067;U03;1973;1998;2004;2012;1;3;1;1;0;5;0;L300000;1973;2100;x
アル・アルシャト;7002068;U03;1973;1998;2004;2012;2;3;0;1;0;4;0;L300001;1973;2100;x
アル・ハッサン;7002069;U03;1973;1998;2004;2012;2;4;1;1;0;4;0;L300002;1973;2100;x
アル・ラウィ;7002070;U03;1973;1998;2004;2012;2;3;0;1;0;3;0;L300003;1973;2100;x
アル・ウマリ;7002071;U03;1973;1998;2004;2012;3;3;0;0;0;1;0;L300004;1973;2100;x
アス・サッバーフ;7002072;U03;1973;1998;2004;2012;2;5;262271;1;0;4;0;L300005;1973;2100;x
アス・サイド;7002073;U03;1973;1998;2004;2012;1;3;4;2;0;5;0;L300006;1973;2100;x
バクル・シドゥキ;7002074;U03;1973;1998;2004;2012;1;3;0;1;0;3;0;L300007;1973;2100;x
ダフニ;7002075;U03;1973;1998;2004;2012;3;5;262527;0;0;3;0;L300008;1973;2100;x
ダヴィス;7002076;U03;1973;1998;2004;2012;3;5;262527;1;0;5;0;L300009;1973;2100;x
エレカット;7002077;U03;1973;1998;2004;2012;3;3;128;1;0;1;0;L300010;1973;2100;x
ファウジ;7002078;U03;1973;1998;2004;2012;3;3;256;0;0;1;0;L300011;1973;2100;x
ガジ1世;7002079;U03;1973;1998;2004;2012;0;2;0;0;0;5;0;L300012;1973;2100;x
グラッブ;7002080;U03;1973;1998;2004;2012;2;6;262271;3;0;5;0;L300013;1973;2100;x
イツハクト;7002081;U03;1973;1998;2004;2012;2;4;0;0;0;5;0;L300014;1973;2100;x
オズボーン＝ウィルキンソン;7002082;U03;1973;1998;2004;2012;3;4;128;1;0;5;0;L300015;1973;2100;x
ピーク;7002083;U03;1973;1998;2004;2012;2;5;262271;1;0;3;0;L300016;1973;2100;x
シャーラン;7002084;U03;1973;1998;2004;2012;1;3;64;1;0;3;0;L300017;1973;2100;x
シャケル・ベン・ザイド;7002085;U03;1973;1998;2004;2012;3;3;0;0;0;3;0;L300018;1973;2100;x
シャウカト;7002086;U03;1973;1998;2004;2012;3;3;0;0;0;1;0;L300019;1973;2100;x
ソーンヒル;7002087;U03;1973;1998;2004;2012;3;5;262271;0;0;5;0;L300020;1973;2100;x
アス・サッバーフ;7002088;U03;1973;1998;2004;2012;1;3;512;1;0;4;1;L300021;1973;2100;x
ナイ;7002089;U03;1973;1998;2004;2012;2;4;0;1;0;5;1;L300022;1973;2100;x
タットン＝サイクス;7002090;U03;1973;1998;2004;2012;3;4;1024;0;0;5;1;L300023;1973;2100;x
ティムス;7002091;U03;1973;1998;2004;2012;3;4;0;0;0;5;1;L300024;1973;2100;x
アル・テル;7002092;U03;1973;1998;2004;2012;3;4;0;1;0;3;2;L300025;1973;2100;x
ベン・ジャワド;7002093;U03;1973;1998;2004;2012;3;3;0;0;0;3;2;L300026;1973;2100;x
フィッシャー;7002094;U03;1973;1998;2004;2012;3;4;0;0;0;5;2;L300027;1973;2100;x
グラント;7002095;U03;1973;1998;2004;2012;3;4;0;0;0;5;2;L300028;1973;2100;x
ローリンソン;7002096;U03;1973;1998;2004;2012;2;4;16384;1;0;5;2;L300029;1973;2100;x
A・アフカーミ;7002097;U03;1973;1998;2004;2012;1;3;2;1;0;5;0;L440000;1973;2100;x
H・アフカーミ;7002098;U03;1973;1998;2004;2012;3;3;2;0;0;4;0;L440001;1973;2100;x
M・アフカーミ;7002099;U03;1973;1998;2004;2012;2;4;4;1;0;4;0;L440002;1973;2100;x
ガラマニ;7002100;U03;1973;1998;2004;2012;3;4;4;1;0;5;0;L440003;1973;2100;x
ゴラム・レザ・パーラヴィ;7002101;U03;1973;1998;2004;2012;1;3;4;2;0;5;0;L440004;1973;2100;x
ギランシャー;7002102;U03;1973;1998;2004;2012;2;4;4;1;0;5;0;L440005;1973;2100;x
ハディ・アタバイ;7002103;U03;1973;1998;2004;2012;3;4;2;1;0;5;0;L440006;1973;2100;x
ホセイン・フィルーズ;7002104;U03;1973;1998;2004;2012;1;4;32;2;0;5;0;L440007;1973;2100;x
マジド・フィルーズ;7002105;U03;1973;1998;2004;2012;2;4;2;1;0;5;0;L440008;1973;2100;x
カーン・クーパル;7002106;U03;1973;1998;2004;2012;2;3;0;1;0;5;0;L440009;1973;2100;x
カーン・ナクジアム;7002107;U03;1973;1998;2004;2012;3;4;256;0;0;5;0;L440010;1973;2100;x
ミア・ガーニ;7002108;U03;1973;1998;2004;2012;2;3;32;0;0;5;0;L440011;1973;2100;x
ミザニ;7002109;U03;1973;1998;2004;2012;3;4;0;0;0;5;0;L440012;1973;2100;x
ナクジャヴァニ;7002110;U03;1973;1998;2004;2012;2;4;128;1;0;5;0;L440013;1973;2100;x
ニザムシャー;7002111;U03;1973;1998;2004;2012;2;6;262271;1;0;5;0;L440014;1973;2100;x
クアランシャー;7002112;U03;1973;1998;2004;2012;2;3;1;1;0;5;0;L440015;1973;2100;x
レザ・パーラヴィ;7002113;U03;1973;1998;2004;2012;0;6;262271;3;0;5;0;L440016;1973;2100;x
セパーボディ・カジャール;7002114;U03;1973;1998;2004;2012;3;4;1;1;0;5;0;L440017;1973;2100;x
ザヘディ;7002115;U03;1973;1998;2004;2012;1;4;1;2;0;5;0;L440018;1973;2100;x
アーマンプール;7002116;U03;1973;1998;2004;2012;2;4;0;2;0;5;1;L440019;1973;2100;x
アクバープール;7002117;U03;1973;1998;2004;2012;3;3;1024;0;0;5;1;L440020;1973;2100;x
カーン・ナクジャヴァン;7002118;U03;1973;1998;2004;2012;1;4;0;1;0;5;1;L440021;1973;2100;x
クヒスラバディ;7002119;U03;1973;1998;2004;2012;2;3;0;1;0;5;1;L440022;1973;2100;x
コースラヴァニ;7002120;U03;1973;1998;2004;2012;3;4;4096;0;0;5;1;L440023;1973;2100;x
ミザニ;7002121;U03;1973;1998;2004;2012;3;4;0;0;0;5;1;L440024;1973;2100;x
モハンナ;7002122;U03;1973;1998;2004;2012;3;4;0;1;0;5;1;L440025;1973;2100;x
クアランシャー;7002123;U03;1973;1998;2004;2012;2;3;0;1;0;5;1;L440026;1973;2100;x
ギランシャー;7002124;U03;1973;1998;2004;2012;3;4;32768;1;0;5;2;L440027;1973;2100;x
カーン・クーパル;7002125;U03;1973;1998;2004;2012;2;3;0;1;0;5;2;L440028;1973;2100;x
カーン・ナクジャヴァン;7002126;U03;1973;1998;2004;2012;1;4;0;1;0;5;2;L440029;1973;2100;x
