Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アルベルト・ヴェナンシオ;31000;BRA;1973;1998;2004;2012;3;4;1;0;0;3;0;L31000;1973;2110;x
アルヴェス・マリーニョ;31001;BRA;1973;1998;2004;2012;1;4;0;1;0;5;0;L31001;1973;2110;x
アウレリオ・デ・モンテイロ;31002;BRA;1973;1998;2004;2012;2;4;514;1;0;5;0;L31002;1973;2110;x
バラタ・デ・アゼヴェード;31003;BRA;1973;1998;2004;2012;2;5;1;1;0;4;0;L31003;1973;2110;x
バルボーサ;31004;BRA;1973;1998;2004;2012;3;6;256;0;0;4;0;L31004;1973;2110;x
ボルヘス・ダ・フォンセカ・ネット;31005;BRA;1973;1998;2004;2012;3;5;1;0;0;5;0;L31005;1973;2110;x
カルドーソ;31006;BRA;1973;1998;2004;2012;2;4;1;1;0;4;0;L31006;1973;2110;x
カシアーノ;31007;BRA;1973;1998;2004;2012;3;4;0;0;0;3;0;L31007;1973;2110;x
カステロ・ブランカ;31008;BRA;1973;1998;2004;2012;2;6;4;1;0;4;0;L31008;1973;2110;x
チャダヴェク・デ・ラヴァラーデ;31009;BRA;1973;1998;2004;2012;2;4;0;0;0;5;0;L31009;1973;2110;x
コエーリョ・ネット;31010;BRA;1973;1998;2004;2012;3;6;128;1;0;4;0;L31010;1973;2110;x
コルデイロ・デ・ファリアス;31011;BRA;1973;1998;2004;2012;1;6;1;2;0;5;0;L31011;1973;2110;x
コスタ・エ・シルヴァ;31012;BRA;1973;1998;2004;2012;1;6;4;3;0;5;0;L31012;1973;2110;x
ダリンコート・フォンセカ;31013;BRA;1973;1998;2004;2012;2;5;2;0;0;5;0;L31013;1973;2110;x
ダ・ガマ・レイロス;31014;BRA;1973;1998;2004;2012;2;4;128;1;0;4;0;L31014;1973;2110;x
ダ・シルヴァ;31015;BRA;1973;1998;2004;2012;2;5;544;2;0;5;0;L31015;1973;2110;x
デ・アシス;31016;BRA;1973;1998;2004;2012;2;6;2;2;0;5;0;L31016;1973;2110;x
デ・スーザ・ダンタス・デ・メロ;31017;BRA;1973;1998;2004;2012;3;4;0;0;0;3;0;L31017;1973;2110;x
ディラーマンド・デ・アシス;31018;BRA;1973;1998;2004;2012;2;4;0;1;0;5;0;L31018;1973;2110;x
ド・ナシメント;31019;BRA;1973;1998;2004;2012;3;6;16;0;0;3;0;L31019;1973;2110;x
ド・ナシメント・リンス;31020;BRA;1973;1998;2004;2012;3;4;0;0;0;5;0;L31020;1973;2110;x
ドス・サントス;31021;BRA;1973;1998;2004;2012;3;5;256;1;0;3;0;L31021;1973;2110;x
