Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
サー･ジャクソン;87000;ENG;1003;1003;1003;1003;0;7;129;3;0;5;0;L87000;1003;2030;x
サー･ウォーカー;87003;ENG;1003;1003;1003;1003;0;7;0;3;0;5;0;L87003;1003;2030;x
クリストファー･ドルリー;87072;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87072;1003;2030;x
ジョン･モアブリック;87073;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87073;1003;2030;x
デイヴィット・ビル;87074;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87074;1003;2030;x
ムンゴ･メルヴィン;87075;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87075;1003;2030;x
ニコラス･カプリン;87076;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87076;1003;2030;x
ジョン･ヘンダーソン;87077;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87077;1003;2030;x
マーティン･ファーンデイル;87078;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87078;1003;2030;x
パトリック・パルマー;87079;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87079;1003;2030;x
リチャード･スウィンボーン;87080;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87080;1003;2030;x
クリストファー・ウォレス;87081;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87081;1003;2030;x
パトリック・コーディングリー;87082;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87082;1003;2030;x
ジョン・キズレー;87083;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87083;1003;2030;x
アンドリュー・リッジウェイ;87084;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87084;1003;2030;x
アンドリュー・スチュワート;87085;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87085;1003;2030;x
リチャード・シレフ;87086;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87086;1003;2030;x
グラハム・ビンズ;87087;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87087;1003;2030;x
アドリアン・ブラドショー;87088;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87088;1003;2030;x
パトリック・マリオット;87089;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87089;1003;2030;x
ジョン・スティボーン;87090;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87090;1003;2030;x
マイケル・ウォーカー;87091;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87091;1003;2030;x
アーサー・デナロ;87092;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87092;1003;2030;x
アンドリュー・プリングル;87093;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87093;1003;2030;x
デイヴィット・リーキー;87094;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87094;1003;2030;x
ニック・パーカー;87095;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87095;1003;2030;x
デイヴィット・ラザフォード・ジョーンズ;87096;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87096;1003;2030;x
ニコラス・パトリック・カーター;87097;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87097;1003;2030;x
ジェイムズ・エバラード;87098;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87098;1003;2030;x
パトリック･サンダース;87099;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87099;1003;2030;x
エドウィン・ブラモール;87100;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87100;1003;2030;x
ジョン・スタンアー;87101;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87101;1003;2030;x
ジェフリー・ハウレット;87102;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87102;1003;2030;x
ブライアン・ケニー;87103;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87103;1003;2030;x
デイヴィッド・ソーン;87104;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87104;1003;2030;x
ロジャー・ホイーラー;87105;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87105;1003;2030;x
ルパート・スミス;87106;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87106;1003;2030;x
アンソニー・デニソン・スミス;87107;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87107;1003;2030;x
レドモンド・ワット;87108;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87108;1003;2030;x
ロビン・ブリムス;87109;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87109;1003;2030;x
ペーター・ウォール;87110;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87110;1003;2030;x
ジョン・クーパー;87111;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87111;1003;2030;x
ジェイムズ・バシャル;87112;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87112;1003;2030;x
ジェイムズ・チスウェル;87113;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87113;1003;2030;x
ロビン・カーネギー;87114;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87114;1003;2030;x
マイケル・ウォルシュ;87115;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87115;1003;2030;x
デイヴィッド・ランズボサム;87116;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87116;1003;2030;x
エドワード・ジョーンズ;87117;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87117;1003;2030;x
マイケル・ウェルクス;87118;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87118;1003;2030;x
ヒュー・パイク;87119;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87119;1003;2030;x
マイク・ジャクソン;87120;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87120;1003;2030;x
セドリック・デルヴィス;87121;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87121;1003;2030;x
リチャード・ダナット;87122;ENG;1003;1970;1990;2000;0;7;0;2;0;5;0;L87122;1003;2030;x
