Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ヴォルフガング・アルテンブルク;506000;DFR;1973;1979;1983;2100;1;7;128;1;0;5;0;M506070;1973;1989;x
エッカート・アフヘルト;506001;DFR;1971;2100;2100;2100;3;5;128;0;0;5;0;L506001;1971;1981;x
ハルトムート・バッガー;506002;DFR;1988;1992;1996;2100;1;7;4;2;0;5;0;M506073;1988;1999;x
ゲルハルト・バルクホルン;506003;DFR;1969;1975;2100;2100;3;7;4096;3;0;5;0;L506003;1969;1975;x
ゲルト・バスティアン;506004;DFR;1970;2100;2100;2100;3;5;0;1;0;5;0;L506004;1970;1980;x
エルハルト・ビューラー;506005;DFR;2003;2100;2100;2100;3;6;128;1;0;5;0;L506005;2003;2100;x
ヨハン・コンドネ;506006;DFR;1970;2100;2100;2100;3;6;128;1;0;5;0;L506006;1970;1979;x
エーベルハルト・エイムラー;506007;DFR;1976;1980;1987;2100;1;7;0;1;0;5;2;M506113;1976;1990;x
ハインツ＝オットー・ファビアン;506008;DFR;1970;2100;2100;2100;3;6;2;1;0;5;0;L506008;1970;1974;x
カール＝ハインツ・グレーヴェ;506009;DFR;1967;1974;2100;2100;2;6;131072;1;0;5;2;L506009;1967;1974;x
ハインツ＝ギュンター・グデーリアン;506010;DFR;1970;2100;2100;2100;3;7;128;2;0;5;0;L506010;1970;1974;x
ラインハルト・ギュンツェル;506011;DFR;2000;2100;2100;2100;3;6;256;1;0;5;0;L506011;2000;2003;x
ヘルゲ・ハンセン;506012;DFR;1982;1990;1994;2100;1;7;128;2;0;5;0;M506088;1982;1996;x
ヘルムート・ハウサー;506013;DFR;1964;1968;2100;2100;2;6;16384;1;0;5;0;L506013;1964;1974;x
ノルベルト・ファン・ヘイスト;506014;DFR;1993;2002;2100;2100;2;6;128;1;0;5;0;L506014;1993;2005;x
エーリヒ・ホッハーゲン;506015;DFR;1970;2100;2100;2100;3;7;8192;2;0;5;2;L506015;1970;1974;x
