Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
カリ･リンピ;28001;FIN;1003;1003;1003;2100;2;9;2;3;0;5;0;L28001;1003;2030;x
エサ･タラヴァイネン;28002;FIN;1003;1003;1003;2100;1;9;2;2;0;5;0;L28002;1003;2030;x
オラヴィ;28003;FIN;1003;1003;1003;2100;1;9;8;2;0;5;0;L28003;1003;2030;x
イルカ;28004;FIN;1003;1003;1003;2100;1;9;16;2;0;5;0;L28004;1003;2030;x
アリ･プヘロイネン;28005;FIN;1003;1003;1003;2100;1;9;128;2;0;5;0;L28005;1003;2030;x
ハン･ヘラネン;28006;FIN;1003;1003;2100;2100;2;9;2;3;0;5;0;L28006;1003;2030;x
ヘイキ･ホルマ;28007;FIN;1003;1003;2100;2100;2;9;8;1;0;5;0;L28007;1003;2030;x
カリ･シーキ;28008;FIN;1003;1003;2100;2100;2;9;2;3;0;5;0;L28008;1003;2030;x
カルエヴォ･シーピ;28009;FIN;1003;1003;2100;2100;2;9;1;2;0;5;0;L28009;1003;2030;x
オリマッティ;28010;FIN;1003;1003;2100;2100;2;9;4;3;0;5;0;L28010;1003;2030;x
ペルティ･プロンティ;28011;FIN;1003;1003;2100;2100;2;9;32;2;0;5;0;L28011;1003;2030;x
アルト;28012;FIN;1003;2100;2100;2100;3;9;256;4;0;5;0;L28012;1003;2030;x
マルク･コリ;28013;FIN;1003;2100;2100;2100;3;9;64;2;0;5;0;L28013;1003;2030;x
ヤルマ･ペルトラ;28014;FIN;1003;2100;2100;2100;3;9;16;3;0;5;0;L28014;1003;2030;x
ユハ;28015;FIN;1003;2100;2100;2100;3;9;2;2;0;5;0;L28015;1003;2030;x
マルコ･イハントラ;28016;FIN;1003;2100;2100;2100;3;9;32;2;0;5;0;L28016;1003;2030;x
イルカ･アスパラ;28017;FIN;1003;2100;2100;2100;3;9;8;1;0;5;0;L28017;1003;2030;x
ヤン･ラウカ;28018;FIN;1003;2100;2100;2100;3;9;2;3;0;5;0;L28018;1003;2030;x
パーヴォ･キーリネン;28019;FIN;1003;2100;2100;2100;3;9;2;2;0;5;0;L28019;1003;2030;x
ヤッコ･オクサネン;28020;FIN;1003;2100;2100;2100;3;9;8;3;0;5;0;L28020;1003;2030;x
アンティ･ランキネン;28021;FIN;1003;2100;2100;2100;3;9;4;4;0;5;0;L28021;1003;2030;x
ユッカ･ペンナネン;28022;FIN;1003;2100;2100;2100;3;9;8;2;0;5;0;L28022;1003;2030;x
ペルティ･サルミネン;28023;FIN;1003;2100;2100;2100;3;9;2;2;0;5;0;L28023;1003;2030;x
ユハニ･カスキアラ;28024;FIN;1003;1003;1003;1003;0;9;4096;3;0;5;1;L28024;1003;2030;x
ハンス･ホムストラン;28025;FIN;1003;1003;1003;2100;1;9;2048;4;0;5;1;L28025;1003;2030;x
エスコ･イッリ;28026;FIN;1003;1003;1003;2100;1;9;2048;2;0;5;1;Unknown;1003;2030;x
ペルティ･マンベルク;28027;FIN;1003;1003;2100;2100;2;9;8192;2;0;5;1;L28027;1003;2030;x
ユハ･ランニッコ;28028;FIN;1003;2100;2100;2100;3;9;2048;1;0;5;1;L28028;1003;2030;x
ボエストロンド;28029;FIN;1003;2100;2100;2100;3;9;4096;4;0;5;1;L28029;1003;2030;x
ハンノ･ストラング;28030;FIN;1003;2100;2100;2100;3;9;4096;3;0;5;1;L28030;1003;2030;x
ヨーニ･ペスツネン;28031;FIN;1003;1003;1003;2100;1;9;4096;4;0;5;2;Unknown;1003;2030;x
マッティ･アホラ;28032;FIN;1003;1003;1003;2100;1;9;8192;2;0;5;2;L28032;1003;2030;x
ヘイキ･リューティネン;28033;FIN;1003;1003;2100;2100;2;9;4096;4;0;5;2;L28033;1003;2030;x
ペッカ･テューナネン;28034;FIN;1003;2100;2100;2100;3;9;4096;3;0;5;2;L28034;1003;2030;x
ペンティ･コロネン;28035;FIN;1003;2100;2100;2100;3;9;65536;2;0;5;2;L28035;1003;2030;x
