Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ビーダー;28552;FRA;1003;1003;1003;1003;0;9;385;2;0;5;0;L28552;1003;2030;x
オクエジャールファ;28553;FRA;1003;1003;1003;1003;0;9;130;3;0;5;0;L28553;1003;2030;x
ミシェル;28554;FRA;1003;1003;1003;1003;0;9;160;3;0;5;0;L28554;1003;2030;x
ケルチ;28500;FRA;1003;1003;1003;1003;0;3;3;3;0;5;0;L28500;1003;2030;x
ベンテージャー;28501;FRA;1003;1003;1003;1003;0;2;132;2;0;5;0;L28501;1003;2030;x
ピー;28502;FRA;1003;1003;1003;1003;0;2;0;2;0;5;0;L28502;1003;2030;x
ヌーフ;28503;FRA;1003;1003;1003;1003;0;3;2;3;0;5;0;L28503;1003;2030;x
トハイツ;28504;FRA;1003;1003;1003;1003;0;3;128;3;0;5;0;L28504;1003;2030;x
ケルメボン;28555;FRA;1003;1003;1003;2100;1;5;128;3;0;5;0;L28555;1003;2030;x
ズコウィーツ;28556;FRA;1003;1003;1003;2100;1;9;144;5;0;5;0;L28556;1003;2030;x
ポンセ;28557;FRA;1003;1003;1003;2100;1;5;0;2;0;5;0;L28557;1003;2030;x
ドゥ･モーシー;28558;FRA;1003;1003;1003;2100;1;5;16;3;0;5;0;L28558;1003;2030;x
エリ;28559;FRA;1003;1003;1003;2100;1;5;128;4;0;5;0;L28559;1003;2030;x
ゼラー;28505;FRA;1003;1003;1003;2100;1;4;5;4;0;5;0;L28505;1003;2030;x
ヴァランタン;28506;FRA;1003;1003;1003;2100;1;3;0;3;0;5;0;L28506;1003;2030;x
ホンソン;28507;FRA;1003;1003;1003;2100;1;2;64;2;0;5;0;L28507;1003;2030;x
ジーレ;28508;FRA;1003;1003;1003;2100;1;2;256;2;0;5;0;L28508;1003;2030;x
バリー;28509;FRA;1003;1003;1003;2100;1;2;0;2;0;5;0;L28509;1003;2030;x
ラデーヴァ;28510;FRA;1003;1003;1003;2100;1;1;2;1;0;5;0;L28510;1003;2030;x
マルベーキ;28511;FRA;1003;1003;1003;2100;1;3;21;3;0;5;0;L28511;1003;2030;x
トマーナ;28512;FRA;1003;1003;1003;2100;1;1;0;1;0;5;0;L28512;1003;2030;x
プレ;28513;FRA;1003;1003;1003;2100;1;1;128;1;0;5;0;L28513;1003;2030;x
ヌルッチ;28514;FRA;1003;1003;1003;2100;1;2;130;2;0;5;0;L28514;1003;2030;x
ドゥ･マルニャック;28560;FRA;1003;1003;2100;2100;2;5;128;1;0;5;0;L28560;1003;2030;x
デュブール;28561;FRA;1003;1003;2100;2100;2;5;64;2;0;5;0;L28561;1003;2030;x
メイエ;28562;FRA;1003;1003;2100;2100;2;5;0;1;0;5;0;L28562;1003;2030;x
ソメー;28563;FRA;1003;1003;2100;2100;2;5;64;2;0;5;0;L28563;1003;2030;x
マレンゴ;28564;FRA;1003;1003;2100;2100;2;5;256;3;0;5;0;L28564;1003;2030;x
アマー;28565;FRA;1003;1003;2100;2100;2;5;4;4;0;5;0;L28565;1003;2030;x
メイヤー;28566;FRA;1003;1003;2100;2100;2;5;65;3;0;5;0;L28566;1003;2030;x
ラング;28567;FRA;1003;1003;2100;2100;2;5;320;3;0;5;0;L28567;1003;2030;x
ゴズブリアンド;28568;FRA;1003;1003;2100;2100;2;5;4;4;0;5;0;L28568;1003;2030;x
シュヴェルヴァッヘー;28569;FRA;1003;1003;2100;2100;2;5;128;2;0;5;0;L28569;1003;2030;x
リシャー;28515;FRA;1003;1003;2100;2100;2;2;0;2;0;5;0;L28515;1003;2030;x
キューシュ;28516;FRA;1003;1003;2100;2100;2;2;5;2;0;5;0;L28516;1003;2030;x
マク;28517;FRA;1003;1003;2100;2100;2;2;0;2;0;5;0;L28517;1003;2030;x
ケイフラン;28518;FRA;1003;1003;2100;2100;2;1;19;1;0;5;0;L28518;1003;2030;x
デュ･ブラー;28519;FRA;1003;1003;2100;2100;2;2;0;2;0;5;0;L28519;1003;2030;x
マルセンヌ;28570;FRA;1003;2100;2100;2100;3;5;264;2;0;5;0;L28570;1003;2030;x
デュ･サン;28571;FRA;1003;2100;2100;2100;3;5;132;3;0;5;0;L28571;1003;2030;x
タイキー;28572;FRA;1003;2100;2100;2100;3;5;272;2;0;5;0;L28572;1003;2030;x
ストルザ;28573;FRA;1003;2100;2100;2100;3;5;256;2;0;5;0;L28573;1003;2030;x
ウボルン;28574;FRA;1003;2100;2100;2100;3;5;0;2;0;5;0;L28574;1003;2030;x
クフーツ;28575;FRA;1003;2100;2100;2100;3;5;256;2;0;5;0;L28575;1003;2030;x
ベルトゥーチー;28576;FRA;1003;2100;2100;2100;3;5;256;2;0;5;0;L28576;1003;2030;x
ミエ;28577;FRA;1003;2100;2100;2100;3;5;144;2;0;5;0;L28577;1003;2030;x
シュブレ;28578;FRA;1003;2100;2100;2100;3;5;0;2;0;5;0;L28578;1003;2030;x
マーグエホン;28579;FRA;1003;2100;2100;2100;3;5;0;2;0;5;0;L28579;1003;2030;x
シェイホー;28580;FRA;1003;2100;2100;2100;3;5;256;2;0;5;0;L28580;1003;2030;x
ルシャヴァリエ;28581;FRA;1003;2100;2100;2100;3;5;256;3;0;5;0;L28581;1003;2030;x
ラフンテン;28582;FRA;1003;2100;2100;2100;3;5;260;4;0;5;0;Unknown;1003;2030;x
ファルゾ;28583;FRA;1003;2100;2100;2100;3;5;4;3;0;5;0;L28583;1003;2030;x
ダメイ;28584;FRA;1003;2100;2100;2100;3;5;256;2;0;5;0;L28584;1003;2030;x
パージェ;28585;FRA;1003;2100;2100;2100;3;5;128;3;0;5;0;L28585;1003;2030;x
ラテル;28586;FRA;1003;2100;2100;2100;3;5;264;3;0;5;0;L28586;1003;2030;x
ダリー;28587;FRA;1003;2100;2100;2100;3;5;257;3;0;5;0;L28587;1003;2030;x
タルタンビーユ;28588;FRA;1003;2100;2100;2100;3;5;128;2;0;5;0;L28588;1003;2030;x
コスタンティーニ;28589;FRA;1003;2100;2100;2100;3;5;128;2;0;5;0;L28589;1003;2030;x
バッテ;28520;FRA;1003;1003;1003;1003;0;2;4096;2;0;5;1;L28520;1003;2030;x
ゲールブラン;28521;FRA;1003;1003;1003;1003;0;3;1024;3;0;5;1;L28521;1003;2030;x
ピノ;28522;FRA;1003;1003;1003;1003;0;3;2048;3;0;5;1;L28522;1003;2030;x
ドゥ･ダニヴィレ;28523;FRA;1003;1003;1003;1003;0;2;8192;2;0;5;1;L28523;1003;2030;x
レ･ドゥック;28524;FRA;1003;1003;1003;1003;0;2;0;2;0;5;1;L28524;1003;2030;x
ヴァン･フフェール;28525;FRA;1003;1003;1003;1003;0;2;5120;2;0;5;1;L28525;1003;2030;x
オネイル;28526;FRA;1003;1003;1003;1003;0;3;0;3;0;5;1;L28526;1003;2030;x
デューモンテ;28527;FRA;1003;1003;1003;1003;0;2;0;2;0;5;1;L28527;1003;2030;x
ド･コントンソン;28528;FRA;1003;1003;1003;1003;0;4;0;4;0;5;1;L28528;1003;2030;x
サン･ローザス;28590;FRA;1003;1003;1003;2100;1;;0;2;0;5;1;L28590;1003;2030;x
ケリニアール;28591;FRA;1003;1003;1003;2100;1;;5120;2;0;5;1;L28591;1003;2030;x
マザー;28592;FRA;1003;1003;1003;2100;1;;4096;3;0;5;1;L28592;1003;2030;x
ソテール;28529;FRA;1003;1003;1003;2100;1;3;2048;3;0;5;1;L28529;1003;2030;x
ドゥヴォー;28530;FRA;1003;1003;1003;2100;1;2;4096;2;0;5;1;L28530;1003;2030;x
ロム;28531;FRA;1003;1003;1003;2100;1;2;9216;2;0;5;1;L28531;1003;2030;x
ベローシ;28532;FRA;1003;1003;1003;2100;1;1;0;1;0;5;1;L28532;1003;2030;x
ファーブル;28533;FRA;1003;1003;1003;2100;1;3;2048;3;0;5;1;L28533;1003;2030;x
ウィルモット･ルセール;28534;FRA;1003;1003;1003;2100;1;2;0;2;0;5;1;L28534;1003;2030;x
パツーク;28536;FRA;1003;1003;2100;2100;2;1;5120;1;0;5;1;L28536;1003;2030;x
ロラン;28537;FRA;1003;1003;2100;2100;2;2;0;2;0;5;1;L28537;1003;2030;x
ルプー;28538;FRA;1003;1003;2100;2100;2;2;4096;2;0;5;1;L28538;1003;2030;x
ロバート;28539;FRA;1003;1003;2100;2100;2;2;0;2;0;5;1;L28539;1003;2030;x
デボルド;28540;FRA;1003;1003;2100;2100;2;3;0;3;0;5;1;L28540;1003;2030;x
マグネ;28593;FRA;1003;2100;2100;2100;2;;8192;2;0;5;1;L28593;1003;2030;x
レヒャト;28594;FRA;1003;2100;2100;2100;2;;1024;2;0;5;1;L28594;1003;2030;x
ギユー;28595;FRA;1003;2100;2100;2100;2;;0;3;0;5;1;L28595;1003;2030;x
ドルジャーシェ;28596;FRA;1003;2100;2100;2100;2;;4096;2;0;5;1;L28596;1003;2030;x
マルダーグ;28541;FRA;1003;1003;2100;2100;2;3;0;3;0;5;1;L28541;1003;2030;x
アンドレ;28597;FRA;1003;1003;1003;1003;0;4;8192;3;0;5;2;L28597;1003;2030;x
ヴォルスツンスキ;28542;FRA;1003;1003;1003;1003;0;2;135168;2;0;5;2;L28542;1003;2030;x
デュタータ;28543;FRA;1003;1003;1003;1003;0;3;16384;3;0;5;2;L28543;1003;2030;x
トホーヴェ;28544;FRA;1003;1003;1003;1003;0;2;12288;2;0;5;2;L28544;1003;2030;x
ポム;28545;FRA;1003;1003;1003;1003;0;2;0;2;0;5;2;L28545;1003;2030;x
ガヴィアード;28598;FRA;1003;1003;1003;2100;1;4;4096;2;0;5;2;L28598;1003;2030;x
ヴェロン;28599;FRA;1003;1003;1003;2100;1;4;4096;4;0;5;2;L28599;1003;2030;x
マティ;28600;FRA;1003;1003;1003;2100;1;3;4096;2;0;5;2;L28600;1003;2030;x
ヴァンション;28546;FRA;1003;1003;1003;2100;1;4;0;4;0;5;2;L28546;1003;2030;x
ド･ロンヌ;28547;FRA;1003;1003;1003;2100;1;3;147456;3;0;5;2;L28547;1003;2030;x
モッテ;28548;FRA;1003;1003;1003;2100;1;2;4096;2;0;5;2;L28548;1003;2030;x
バーナード;28549;FRA;1003;1003;1003;2100;1;2;0;2;0;5;2;L28549;1003;2030;x
ジャリ;28601;FRA;1003;1003;2100;2100;2;4;49152;3;0;5;2;L28601;1003;2030;x
ハジ;28550;FRA;1003;1003;2100;2100;2;1;16384;1;0;5;2;L28550;1003;2030;x
レイサーク;28551;FRA;1003;1003;2100;2100;2;2;0;2;0;5;2;L28551;1003;2030;x
ロクフェール;28602;FRA;1003;2100;2100;2100;3;3;20480;2;0;5;2;L28602;1003;2030;x
ルフォール;28603;FRA;1003;2100;2100;2100;3;4;4096;3;0;5;2;L28603;1003;2030;x
ルエープ;28604;FRA;1003;2100;2100;2100;3;4;4096;2;0;5;2;L28604;1003;2030;x
