Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アフサン;505001;IND;1973;1998;2004;2012;3;3;256;0;0;5;0;L505000;1973;2110;x
アイリー;505002;IND;1973;1998;2004;2012;3;3;129;1;0;5;0;L1003;1973;2110;x
アイズルウッド;505003;IND;1973;1998;2004;2012;3;4;128;1;0;5;0;L1004;1973;2110;x
アンドラーデ;505006;IND;1973;1998;2004;2012;3;4;256;0;0;5;0;L505003;1973;2110;x
アークライト＝ホア＝ルースヴェン;505007;IND;1973;1998;2004;2012;3;4;128;0;0;5;0;L1013;1973;2110;x
バハドゥール・コホーン・オブ・ジャイサルマー;505009;IND;1973;1998;2004;2012;2;2;0;0;0;5;0;L505006;1973;2110;x
バハドゥール・アリー・オブ・パティアラ;505010;IND;1973;1998;2004;2012;3;2;0;0;0;5;0;L505007;1973;2110;x
ベアード・オブ・ストーンヘイヴン;505011;IND;1973;1998;2004;2012;1;4;514;1;0;5;0;L1016;1973;2110;x
バレンタイン;505012;IND;1973;1998;2004;2012;3;4;128;0;0;5;0;L1019;1973;2110;x
バンクス＝マクドナルド;505013;IND;1973;1998;2004;2012;3;3;516;1;0;5;0;L1021;1973;2110;x
バーカー;505014;IND;1973;1998;2004;2012;2;3;528;1;0;5;0;L1023;1973;2110;x
バレット;505015;IND;1973;1998;2004;2012;0;5;513;1;0;5;0;L505012;1973;2110;x
ボウマン;505016;IND;1973;1998;2004;2012;3;4;0;1;0;5;0;L1029;1973;2110;x
バーナード;505017;IND;1973;1998;2004;2012;2;3;544;1;0;5;0;L1034;1973;2110;x
ブトバプール;505019;IND;1973;1998;2004;2012;3;2;0;0;0;5;0;L505015;1973;2110;x
ブラキストン＝ヒューストン;505020;IND;1973;1998;2004;2012;3;4;576;0;0;5;0;L1039;1973;2110;x
ブラッドショー;505021;IND;1973;1998;2004;2012;3;4;0;1;0;5;0;L1046;1973;2110;x
ブリッグス;505022;IND;1973;1998;2004;2012;2;4;1;1;0;5;0;L1047;1973;2110;x
ブルック＝ポファム;505024;IND;1973;1998;2004;2012;1;5;513;4;0;5;0;L1051;1973;2110;x
ブラウン;505025;IND;1973;1998;2004;2012;3;4;128;0;0;5;0;L1052;1973;2110;x
カリアパ;505026;IND;1973;1998;2004;2012;0;5;1;3;0;5;0;L505021;1973;2110;x
カー＝ホワイト;505027;IND;1973;1998;2004;2012;3;3;1;0;0;5;0;L1067;1973;2110;x
カッセルズ;505028;IND;1973;1998;2004;2012;2;6;4;2;0;5;0;L1070;1973;2110;x
クリスティソン;505029;IND;1973;1998;2004;2012;2;5;0;2;0;5;0;L1074;1973;2110;x
クラーク;505030;IND;1973;1998;2004;2012;3;4;128;1;0;5;0;L1077;1973;2110;x
