Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
ヤアロン;39500;ISR;1973;1973;1973;2100;1;5;5;3;0;5;0;L39500;1973;2030;2030;x
シャハク;39501;ISR;1973;1973;2100;2100;2;5;128;2;0;5;0;L39501;1973;2030;2030;x
タル;39502;ISR;1973;1973;2100;2100;2;5;0;2;0;5;0;L39502;1973;2030;2030;x
スターン;39503;ISR;1973;1973;2100;2100;2;5;2;2;0;5;0;L39503;1973;2030;2030;x
ジフ;39504;ISR;1973;1973;2100;2100;2;5;1;3;0;5;0;L39504;1973;2030;2030;x
ギャルソン;39505;ISR;1973;1973;2100;2100;2;5;0;3;0;5;0;L39505;1973;2030;2030;x
レヴィン;39506;ISR;1973;1973;2100;2100;2;5;0;1;0;5;0;L39506;1973;2030;2030;x
ミシュラフ;39507;ISR;1973;1973;2100;2100;2;5;0;3;0;5;0;L39507;1973;2030;2030;x
バー;39508;ISR;1973;1973;2100;2100;2;5;128;2;0;5;0;L39508;1973;2030;2030;x
シャニ;39509;ISR;1973;1973;2100;2100;2;5;0;2;0;5;0;L39509;1973;2030;2030;x
ガラント;39510;ISR;1973;1973;2100;2100;2;5;6;2;0;5;0;L39510;1973;2030;2030;x
ドロリ;39511;ISR;1973;1973;2100;2100;2;5;128;1;0;5;0;L39511;1973;2030;2030;x
ヴィルナイ;39512;ISR;1973;1973;2100;2100;2;5;0;2;0;5;0;L39512;1973;2030;2030;x
マンデルバルブ;39513;ISR;1973;2100;2100;2100;3;5;0;3;0;5;0;L39513;1973;2030;2030;x
ケレン;39514;ISR;1973;2100;2100;2100;3;5;1;1;0;5;0;L39514;1973;2030;2030;x
レゲブ;39515;ISR;1973;2100;2100;2100;3;5;0;3;0;5;0;L39515;1973;2030;2030;x
ヤロン;39516;ISR;1973;2100;2100;2100;3;5;4;2;0;5;0;L39516;1973;2030;2030;x
ハレル;39517;ISR;1973;2100;2100;2100;3;5;0;1;0;5;0;L39517;1973;2030;2030;x
ハルツ;39518;ISR;1973;1973;1973;2100;1;5;20480;3;0;5;2;L39518;1973;2030;2030;x
シュケディ;39519;ISR;1973;1973;1973;2100;2;5;0;2;0;5;2;L39519;1973;2030;2030;x
ヤドリン;39520;ISR;1973;1973;2100;2100;2;5;0;2;0;5;2;L39520;1973;2030;2030;x
エプシュタイン;39521;ISR;1973;1973;2100;2100;2;5;4096;5;0;5;2;L39521;1973;2030;2030;x
エリヤフ;39522;ISR;1973;1973;2100;2100;2;5;131072;3;0;5;2;L39522;1973;2030;2030;x
エシェル;39523;ISR;1973;2100;2100;2100;3;5;0;2;0;5;2;L39523;1973;2030;2030;x
ロカー;39524;ISR;1973;2100;2100;2100;3;5;0;1;0;5;2;L39524;1973;2030;2030;x
タンコス;39525;ISR;1973;1973;1973;1973;0;5;2024;2;0;5;1;L39525;1973;2030;2030;x
ヤーリ;39526;ISR;1973;1973;2100;2100;2;5;4096;3;0;5;1;L39526;1973;2030;2030;x
ベン・バシャット;39527;ISR;1973;1973;2100;2100;2;5;0;1;0;5;1;L39527;1973;2030;2030;x
