Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
セルゲーエフ;69001;SOV;1973;1973;1973;1973;0;9;80;3;0;5;0;L69001;1973;2020;x
グラチョフ;69002;SOV;1973;1973;1973;1973;0;7;0;2;0;5;0;L69002;1973;2030;x
クワシュニン;69003;SOV;1973;1973;1973;1973;0;7;0;2;0;5;0;L69003;1973;2030;x
ビュルエフスキ;69004;SOV;1973;1973;1973;1973;0;7;132;2;0;5;0;L69004;1973;2030;x
エフレーモフ;69005;SOV;1973;1973;1973;1973;0;5;0;1;0;5;0;L69005;1973;2030;x
ドローブキン;69006;SOV;1973;1973;1973;1973;0;7;3;2;0;5;0;L69006;1973;2030;x
ヤクボ;69007;SOV;1973;1973;1973;1973;0;7;1;2;0;5;0;L69007;1973;2030;x
ボルディエフ;69008;SOV;1973;1973;1973;1973;0;5;0;1;0;5;0;L69008;1973;2030;x
エフゲニー・イワノフスキー;69009;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69009;1973;2030;x
ミハイル・ザイツェフ;69214;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69214;1973;2030;x
ピョートル・ルーシェフ;69215;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69215;1973;2030;x
ヴァレリー・ベリコフ;69216;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69216;1973;2030;x
ボリス・スネトコフ;69217;SOV;1973;1973;1980;1990;0;9;132;5;0;5;0;L69217;1973;2030;x
マトヴェイ・ブルラコフ;69218;SOV;1973;1973;1980;1990;0;9;132;4;0;5;0;L69218;1973;2030;x
オバツロフ;69219;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69219;1973;2030;x
ヴァレンティン・ヴァレンニコフ;69220;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69220;1973;2030;x
ウラジーミル・ゴヴォロフ;69221;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69221;1973;2030;x
ウラジーミル・アルフィーロフ;69222;SOV;1973;1973;1980;1990;0;9;132;4;0;5;0;L69222;1973;2030;x
コンスタンチン・コチェトフ;69223;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69223;1973;2030;x
ニコライ・カリーニン;69224;SOV;1973;1973;1980;1990;0;9;132;5;0;5;0;L69224;1973;2030;x
ウラジミール・トポロフ;69225;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69225;1973;2030;x
レオンチー・クズネツォフ;69226;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69226;1973;2030;x
イーゴリ・プザノフ;69227;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69227;1973;2030;x
ニコライ・マカロフ;69228;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69228;1973;2030;x
イワン・エフレモフ;69229;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69229;1973;2030;x
ウラジーミル・バキン;69230;SOV;1973;1973;1980;1990;0;9;132;3;0;5;0;L69230;1973;2030;x
ワレーリー･ゲラシモフ;69231;SOV;1973;1973;1980;1990;0;9;132;4;0;5;0;L69231;1973;2030;x
ミハイル･ホムロ;69232;SOV;1973;1973;1980;1990;0;9;8;3;0;5;0;L69232;1973;2030;x
イバノヴィチ･ポポフ;69233;SOV;1973;1973;1980;1990;0;9;8;3;0;5;0;L69233;1973;2030;x
ウラジーミル･ヴォストロフ;69234;SOV;1973;1973;1980;1990;0;9;8;3;0;5;0;L69234;1973;2030;x
ボリス･ピヤンコフ;69235;SOV;1973;1973;1980;1990;0;9;8;3;0;5;0;L69235;1973;2030;x
ニコライ･コルミリツェフ;69236;SOV;1973;1973;1980;1990;0;9;8;4;0;5;0;L69236;1973;2030;x
ウラジーミル･ボルドィレフ;69237;SOV;1973;1973;1980;1990;0;9;8;3;0;5;0;L69237;1973;2030;x
ニコライ･マカロフ;69238;SOV;1973;1973;1980;1990;0;9;8;3;0;5;0;L69238;1973;2030;x
アレクサンドル･ポストニコフ;69239;SOV;1973;1973;1980;1990;0;9;8;5;0;5;0;L69239;1973;2030;x
ウラジーミル･チルキー;69240;SOV;1973;1973;1980;1990;0;9;8;5;0;5;0;L69240;1973;2030;x
イヴァン･トレチャーク;69241;SOV;1973;1973;1980;1990;0;9;1;3;0;5;0;L69241;1973;2030;x
ウラジーミル･シュラエフ;69242;SOV;1973;1973;1980;1990;0;9;1;3;0;5;0;L69242;1973;2030;x
ヴァシリー･ペトロフ;69243;SOV;1973;1973;1980;1990;0;9;32;3;0;5;0;L69243;1973;2030;x
ドミトリー･ヤコブ;69244;SOV;1973;1973;1980;1990;0;9;32;3;0;5;0;L69244;1973;2030;x
ミハイル･モイセーエフ;69245;SOV;1973;1973;1980;1990;0;9;32;3;0;5;0;L69245;1973;2030;x
ヴィクトル・ノヴォジロフ;69246;SOV;1973;1973;1980;1990;0;9;32;3;0;5;0;L69246;1973;2030;x
ヴィクトル・チェチェバトフ;69247;SOV;1973;1973;1980;1990;0;9;32;3;0;5;0;L69247;1973;2030;x
ユーリー・ヤクボフ;69248;SOV;1973;1973;1980;1990;0;9;32;3;0;5;0;L69248;1973;2030;x
ウラジーミル・ブルガーコフ;69249;SOV;1973;1973;1980;1990;0;9;32;3;0;5;0;L69249;1973;2030;x
オレグ･サルヨコフ;69250;SOV;1973;1973;1980;1990;0;9;32;3;0;5;0;L69250;1973;2030;x
イヴァン･シャフロフ;69251;SOV;1973;1973;1980;1990;0;9;2;3;0;5;0;L69251;1973;2030;x
アナトリー･グリブコフ;69252;SOV;1973;1973;1980;1990;0;9;2;3;0;5;0;L69252;1973;2030;x
ミハイル･ソロキン;69253;SOV;1973;1973;1980;1990;0;9;2;3;0;5;0;L69253;1973;2030;x
ヴィクトル・エリマコフ;69254;SOV;1973;1973;1980;1990;0;9;2;3;0;5;0;L69254;1973;2030;x
ヴィクトル・サムソノフ;69255;SOV;1973;1973;1980;1990;0;9;2;3;0;5;0;L69255;1973;2030;x
セルゲイ･セレズネフ;69256;SOV;1973;1973;1980;1990;0;9;2;3;0;5;0;L69256;1973;2030;x
ヴァレンティン･ボブリシェフ;69257;SOV;1973;1973;1980;1990;0;9;2;3;0;5;0;L69257;1973;2030;x
ニコライ・ボグダノフスキー;69258;SOV;1973;1973;1980;1990;0;9;2;3;0;5;0;L69258;1973;2030;x
アレクサンドル･マリノフ;69259;SOV;1973;1973;1980;1990;0;9;1;3;0;5;0;L69259;1973;2030;x
スタニスラフ･ポストニコフ;69260;SOV;1973;1973;1980;1990;0;9;1;3;0;5;0;L69260;1973;2030;x
アナトリー・ベテフティン;69261;SOV;1973;1973;1980;1990;0;9;1;3;0;5;0;L69261;1973;2030;x
ウラジーミル･メレチコフ;69262;SOV;1973;1973;1980;1990;0;9;16;2;0;5;0;L69262;1973;2030;x
レフ･シュストコ;69263;SOV;1973;1973;1980;1990;0;9;16;2;0;5;0;L69263;1973;2030;x
アナトリー･クヴァシン;69264;SOV;1973;1973;1980;1990;0;9;16;2;0;5;0;L69264;1973;2030;x
ヴィクトル･カザンツェフ;69265;SOV;1973;1973;1980;1990;0;9;16;2;0;5;0;L69265;1973;2030;x
ゲンナジー･トロシェフ;69266;SOV;1973;1973;1980;1990;0;9;16;2;0;5;0;L69266;1973;2030;x
アレクサンドル･バラトフ;69267;SOV;1973;1973;1980;1990;0;9;16;2;0;5;0;L69267;1973;2030;x
セルゲイ・マカロフ;69268;SOV;1973;1973;1980;1990;0;9;16;2;0;5;0;L69268;1973;2030;x
アレクサンドル・ガルキン;69269;SOV;1973;1973;1980;1990;0;9;16;2;0;5;0;L69269;1973;2030;x
アリベルト・マカショフ;69270;SOV;1973;1973;1980;1990;0;9;64;2;0;5;0;L69270;1973;2030;x
アナトリー・セルゲーエフ;69271;SOV;1973;1973;1980;1990;0;9;64;2;0;5;0;L69271;1973;2030;x
アルカディ･バクヒン;69272;SOV;1973;1973;1980;1990;0;9;64;2;0;5;0;L69272;1973;2030;x
パーベル・メリニコフ;69273;SOV;1973;1973;1980;1990;0;9;64;2;0;5;0;L69273;1973;2030;x
イーゴリ･ロジオノフ;69274;SOV;1973;1973;1980;1990;0;9;64;2;0;5;0;L69274;1973;2030;x
ピョートル・ヴェリキー;69275;SOV;1973;1973;1980;1990;0;9;64;2;0;5;0;L69275;1973;2030;x
グリゴリー･サルマノフ;69276;SOV;1973;1973;1980;1990;0;9;64;2;0;5;0;L69276;1973;2030;x
ウラジーミル・セミョーノフ;69277;SOV;1973;1973;1980;1990;0;9;64;2;0;5;0;L69277;1973;2030;x
ユーリー･マクシモフ;69278;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69278;1973;2030;x
イヴァン･フジェンコ;69279;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69279;1973;2030;x
ゲオルギー・コンドラツェフ;69280;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69280;1973;2030;x
イヴァン･ゲラシモフ;69281;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69281;1973;2030;x
ボリス・グロモフ;69282;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69282;1973;2030;x
イヴァン･ヴォローシン;69283;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69283;1973;2030;x
ヴィタリー・ラデツキー;69284;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69284;1973;2030;x
ボリス･シェイン;69285;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69285;1973;2030;x
レオンティ･シェフツォフ;69286;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69286;1973;2030;x
ヴァシリー・ソセドフ;69287;SOV;1973;1973;1980;1990;0;9;256;2;0;5;0;L69287;1973;2030;x
アナトリー・コレチキー;69288;SOV;1973;1973;1980;1990;0;9;260;2;0;5;0;L69288;1973;2030;x
ウラジーミル・モルテンスコイ;69289;SOV;1973;1973;1980;1990;0;9;260;2;0;5;0;L69289;1973;2030;x
イヴァン･ブヴァリーツェフ;69290;SOV;1973;1973;1980;1990;0;9;260;2;0;5;0;L69290;1973;2030;x
ヴラディスラフ・アチャロフ;69291;SOV;1973;1973;1980;1990;0;9;260;2;0;5;0;L69291;1973;2030;x
ヴァレンティ・ピヴォバロフ;69292;SOV;1973;1973;1980;1990;0;9;260;2;0;5;0;L69292;1973;2030;x
アレクサンドル･ロバノフ;69293;SOV;1973;1973;1980;1990;0;9;260;2;0;5;0;L69293;1973;2030;x
アレクサンドル･ミネンコ;69294;SOV;1973;1973;1980;1990;0;9;260;2;0;5;0;L69294;1973;2030;x
ミハイル･マロフェーブ;69295;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69295;1973;2030;x
イーゴリ･ツルチェネンコ;69296;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69296;1973;2030;x
アナトリー･ユーリキン;69297;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69297;1973;2030;x
アンドレイ･セルジュコフ;69298;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69298;1973;2030;x
ウラジーミル・チリコ;69299;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69299;1973;2030;x
アレクサンドル･ノヴキン;69300;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69300;1973;2030;x
ヴァレリー・スコブロフ;69301;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69301;1973;2030;x
ヴァシリ・イサエフ;69302;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69302;1973;2030;x
ヴィクトル･バルニキン;69303;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69303;1973;2030;x
ユーリー・ロジヒン;69304;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69304;1973;2030;x
アレクサンドル・カシリン;69305;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69305;1973;2030;x
アレクサンドル・ドロフェーブ;69306;SOV;1973;1973;1980;1990;0;9;258;2;0;5;0;L69306;1973;2030;x
ウラジーミル・ブルガコフ;69307;SOV;1973;1973;1980;1990;0;9;320;2;0;5;0;L69307;1973;2030;x
アナトリー･シャポヴァロフ;69308;SOV;1973;1973;1980;1990;0;9;320;3;0;5;0;L69308;1973;2030;x
ミハイル・シャティン;69309;SOV;1973;1973;1980;1990;0;9;320;3;0;5;0;L69309;1973;2030;x
ムルザカン・スバノフ;69310;SOV;1973;1973;1980;1990;0;9;320;3;0;5;0;L69310;1973;2030;x
ニコライ･カリーニン;69311;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69311;1973;2030;x
マラート･クラフメートフ;69312;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69312;1973;2030;x
ウラジーミル･クラエフ;69313;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69313;1973;2030;x
ヴラディスラフ･アチャロフ;69314;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69314;1973;2030;x
ユランティン・ヤルイギン;69315;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69315;1973;2030;x
アレクセイ･シグトキン;69316;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69316;1973;2030;x
ヴァレリー・ハチケビチ;69317;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69317;1973;2030;x
グリゴリー･カラブホフ;69318;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69318;1973;2030;x
イーゴリ･ソロニン;69319;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69319;1973;2030;x
ユーリー･クリヴォシェフ;69320;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69320;1973;2030;x
ニコライ･イグナトフ;69321;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69321;1973;2030;x
ヴィクトル･アクトノフ;69322;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69322;1973;2030;x
ウラジーミル･コチェトコフ;69323;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69323;1973;2030;x
アレクサンドル･ビャズニコフ;69324;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69324;1973;2030;x
ヴァレリー･ソロドチュク;69325;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69325;1973;2030;x
アリベルト･スルユサリ;69326;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69326;1973;2030;x
ゲオルギー･シュパク;69327;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69327;1973;2030;x
ヴィヤチェスラフ･ハリロフ;69328;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69328;1973;2030;x
ユーリー･ソセドフ;69329;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69329;1973;2030;x
アレクサンドル･ポポフ;69330;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69330;1973;2030;x
スタニスラフ･セメニュタ;69331;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69331;1973;2030;x
アレクサンドル･コルパチェンコ;69332;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69332;1973;2030;x
イーゴリ･ヴィノグラドスキー;69333;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69333;1973;2030;x
アレクセイ･ナウメチ;69334;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69334;1973;2030;x
ヴャチェスラフ・ボリソフ;69335;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69335;1973;2030;x
オスバリダス･ピカウスカス;69336;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69336;1973;2030;x
アレクサンドル･ティンダロフ;69337;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69337;1973;2030;x
ヴァレリー･ヴォストロティン;69338;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69338;1973;2030;x
アレクサンドル･ベスパロフ;69339;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69339;1973;2030;x
アレクサンドル･レンチョフ;69340;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69340;1973;2030;x
アレクセイ･ラドジン;69341;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69341;1973;2030;x
セルゲイ･ヴォリク;69342;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69342;1973;2030;x
アントニー･ドブロヴォリスキー;69343;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69343;1973;2030;x
エヴゲニー･ポドコルジン;69344;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69344;1973;2030;x
アレクサンドル･レベジ;69345;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69345;1973;2030;x
アレクサンドル･コルマコフ;69346;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69346;1973;2030;x
エヴゲニー･サヴィロフ;69347;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69347;1973;2030;x
アンドレイ･セルジュコフ;69348;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69348;1973;2030;x
エヴゲニー･ウスチノフ;69349;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69349;1973;2030;x
ゲンナジー･アナシュキン;69350;SOV;1973;1973;1980;1990;0;9;0;2;0;5;0;L69350;1973;2030;x
マスリン;69010;SOV;1973;1973;1973;2100;1;8;2;3;0;5;0;L69010;1973;2030;x
モルテンスコ;69011;SOV;1973;1973;1973;2100;1;8;0;3;0;5;0;L69011;1973;2030;x
ヴァリンキン;69012;SOV;1973;1973;1973;2100;1;8;0;2;0;5;0;L69012;1973;2030;x
コルミルツェフ;69013;SOV;1973;1973;1973;2100;1;8;4;1;0;5;0;L69013;1973;2030;x
マリノフ;69014;SOV;1973;1973;1973;2100;1;5;0;2;0;5;0;L69014;1973;2030;x
コソボ;69017;SOV;1973;1973;1973;2100;1;5;0;2;0;5;0;L69017;1973;2030;x
コルストフ;69019;SOV;1973;1973;2100;2100;2;5;4;2;0;5;0;L69019;1973;2030;x
ボリソフ;69024;SOV;1973;1973;2100;2100;2;5;0;2;0;5;0;L69024;1973;2030;x
マスロフ;69029;SOV;1973;1973;2100;2100;2;6;0;2;0;5;0;L69029;1973;2030;x
ラータ;69032;SOV;1973;1973;2100;2100;2;6;0;2;0;5;0;L69032;1973;2030;x
ゴロヴチェンコ;69037;SOV;1973;1973;2100;2100;2;6;16;3;0;5;0;L69037;1973;2030;x
ゲラシモフ;69039;SOV;1973;1973;2100;2100;2;6;0;2;0;5;0;L69039;1973;2030;x
バキン;69048;SOV;1973;1973;2100;2100;2;6;0;2;0;5;0;L69048;1973;2030;x
シャマノフ;69051;SOV;1973;1973;2100;2100;2;6;0;1;0;5;0;L69051;1973;2030;x
ソロヴィヨフ;69061;SOV;1973;2100;2100;2100;3;5;0;2;0;5;0;L69061;1973;2030;x
レベジ;69076;SOV;1973;2100;2100;2100;3;5;1;2;0;5;0;L69076;1973;2030;x
ペルミノフ;69097;SOV;1973;2100;2100;2100;3;5;0;2;0;5;0;L69097;1973;2030;x
マソリン;69107;SOV;1973;1973;1973;1973;0;5;6144;2;0;5;1;L69107;1973;2020;x
クロエドフ;69109;SOV;1973;1973;1973;1973;0;5;0;2;0;5;1;L69109;1973;2020;x
フェドロフ;69110;SOV;1973;1973;1973;1973;0;5;0;2;0;5;1;L69110;1973;2020;x
マチェク;69112;SOV;1973;1973;1973;1973;0;5;0;1;0;5;1;L69112;1973;2020;x
ワルーエフ;69116;SOV;1973;1973;1973;1973;0;9;0;3;0;5;1;L69116;1973;2020;x
エゴロフ;69117;SOV;1973;1973;1973;1973;0;9;2048;2;0;5;1;L69117;1973;2020;x
コモドエフ;69119;SOV;1973;1973;1973;1973;0;8;0;2;0;5;1;L69119;1973;2020;x
クラフチェンコ;69122;SOV;1973;1973;1973;1973;0;8;0;2;0;5;1;L69122;1973;2020;x
タタリノフ;69123;SOV;1973;1973;1973;2100;1;8;0;2;0;5;1;L69123;1973;2020;x
コルニーロフ;69124;SOV;1973;1973;1973;2100;1;8;0;2;0;5;1;L69124;1973;2020;x
ソーチコフ;69126;SOV;1973;1973;1973;2100;1;9;0;3;0;5;1;L69126;1973;2020;x
アブラモフ;69129;SOV;1973;1973;1973;2100;1;8;0;2;0;5;1;L69129;1973;2020;x
ヴェリチ;69140;SOV;1973;1973;2100;2100;2;9;0;3;0;5;1;L69140;1973;2020;x
アナトリー;69142;SOV;1973;1973;2100;2100;2;9;0;3;0;5;1;L69142;1973;2020;x
ニコライ;69146;SOV;1973;1973;2100;2100;2;8;4096;2;0;5;1;L69146;1973;2020;x
アガフォノフ;69147;SOV;1973;1973;2100;2100;2;8;0;2;0;5;1;L69147;1973;2020;x
ユラソフ;69150;SOV;1973;1973;2100;2100;2;8;0;1;0;5;1;L69150;1973;2020;x
スターツェフ;69169;SOV;1973;1973;2100;2100;2;8;12288;2;0;5;1;L69169;1973;2020;x
レフ;69174;SOV;1973;1973;2100;2100;2;9;5120;3;0;5;1;L69174;1973;2020;x
コルヌコフ;69175;SOV;1973;1973;1973;1973;0;6;4096;2;0;5;2;L69175;1973;2020;x
ミハイロフ;69176;SOV;1973;1973;1973;1973;0;6;16384;2;0;5;2;L69176;1973;2020;x
ソロトソフ;69177;SOV;1973;1973;1973;1973;0;5;8192;1;0;5;2;L69177;1973;2020;x
コルマコフ;69182;SOV;1973;1973;1973;2100;1;5;0;1;0;5;2;L69182;1973;2020;x
ダイニン;69183;SOV;1973;1973;1973;2100;1;7;131072;2;0;5;2;L69183;1973;2020;x
コルーギン;69187;SOV;1973;1973;1973;2100;1;9;131072;3;0;5;2;L69187;1973;2020;x
デニソフ;69199;SOV;1973;1973;2100;2100;2;7;0;2;0;5;2;L69199;1973;2020;x
ポポフキン;69201;SOV;1973;1973;2100;2100;2;7;4096;1;0;5;2;L69201;1973;2020;x
クリシン;69203;SOV;1973;1973;2100;2100;2;6;135168;2;0;5;2;L69203;1973;2020;x
アクショーノフ;69206;SOV;1973;1973;2100;2100;2;6;32768;1;0;5;2;L69206;1973;2020;x
ゼーリン;69213;SOV;1973;1973;2100;2100;2;7;0;2;0;5;2;L69213;1973;2020;x
