U92;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900201;Head of State;サー・アンソニー・マモ;70;SD;Popular Figurehead;High;M900201;x
900202;Head of Government;ドミニク・ミントフ;70;SD;Silent Workhorse;High;M900202;x
900203;Foreign Minister;ドミニク・ミントフ;70;SD;Ideological Crusader;High;M900202;x
900204;Minister of Armament;ジョセフ・アベラ;70;SD;laissez-faire capitalist;High;M900204;x
900205;Minister of Security;アントン・ブッティギーク;70;SD;Compassionate Gentleman;High;M900205;x
900206;Head of Military Intelligence;ドミニク・ミントフ;70;SD;Political Specialist;High;M900202;x
900207;Chief of Staff;ジェフリー・クルミ;70;SD;School of Defence;High;M900207;x
900208;Chief of Army;マーティン・セレブ;70;SD;Elastic Defence Doctrine;High;M900208;x
900209;Chief of Navy;船舶部隊司令官;70;SD;Open Seas Doctrine;High;M900209;x
900210;Chief of Air Force;マーク・アンソニー・サイド;70;SD;Naval Aviation Doctrine;High;M900210;x
