ALB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
32001;Head of State;エンヴェル・ホッジャ;70;ST;Ruthless Powermonger;High;M32001;x
32002;Head of Government;メフメット・シェフー;70;ST;Silent Workhorse;High;M32002;x
32003;Foreign Minister;ネスティ・ナーセ;70;ST;Apologetic Clerk;High;M32003;x
32004;Minister of Armament;アレクス・ヴェルリ;70;ST;laissez-faire capitalist;High;M32004;x
32005;Minister of Security;カドリ・ハズビウ;70;ST;Back Stabber;Medium;M32005;x
32006;Head of Military Intelligence;ファディル・パクラミ;70;ST;Political Specialist;Medium;M32006;x
32007;Chief of Staff;ペトリト・デューメ;70;ST;School of Defence;Medium;M32007;x
32008;Chief of Army;メフメット・シェフー;70;ST;Guns and Butter Doctrine;Medium;M32002;x
32009;Chief of Navy;エンヴェル・ホッジャ;70;ST;Open Seas Doctrine;Medium;M32001;x
32010;Chief of Air Force;エンヴェル・ホッジャ;70;ST;Carpet Bombing Doctrine;Medium;M32001;x
32011;Head of State;ハジ・レシ;70;ST;Popular Figurehead;High;M32011;x
32012;Head of State;ラミズ・アリア;80;ST;Benevolent Gentleman;High;M32012;x
32013;Head of State;カストリオト・イスラミ;90;SD;Popular Figurehead;High;M32013;x
32014;Head of State;ピェタル・アルブノリ;90;SC;Pig-headed Isolationist;High;M32014;x
32015;Head of State;サリ・ベリシャ;90;SC;Autocratic Charmer;High;M32015;x
32016;Head of State;スカンデル・ジヌシ;90;SD;Popular Figurehead;High;M32016;x
32017;Head of State;レジェプ・メイダニ;90;SD;Benevolent Gentleman;High;M32017;x
32018;Head of State;アルフレッド・モイシウ;2002;SC;Resigned Generalissimo;High;M32018;x
32019;Head of State;バミル・トピ;2007;SC;Die-hard Reformer;High;M32019;x
32020;Head of State;ブヤル・ニシャニ;2012;SC;Resigned Generalissimo;High;M32020;x
32021;Head of State;レカ1世;70;PA;Stern Imperialist;High;M32021;x
32022;Head of State;レカ2世;2011;PA;Pig-headed Isolationist;High;M32022;x
32023;Head of Government;エケレム・スパヒア;90;PA;Naive Optimist;High;M32023;x
32024;Head of Government;ムハーレム・バイラクタリ;70;PA;Old General;Medium;M32024;x
32025;Head of Government;アディル・チャルチャニ;80;ST;Political Protege;High;M32025;x
32026;Head of Government;ファトス・ナノ;90;SD;Ambitious Union Boss;High;M32026;x
