AST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
56001;Head of State;サー・ポール・ハズラック;70;SD;Benevolent Gentleman;High;M56001;x
56002;Head of Government;ゴフ・ホイットラム;70;SD;Flamboyant Tough Guy;High;M56002;x
56003;Foreign Minister;ゴフ・ホイットラム;70;SD;Great Compromiser;High;M56002;x
56004;Minister of Armament;ジェームズ・ケアンズ;70;SD;Man of the Workers;High;M56004;x
56005;Minister of Security;ライオネル・マーフィー;70;SD;Man of the People;High;M56005;x
56006;Head of Military Intelligence;ウィリアム・トーマス・ロバートソン;70;SD;Logistics Specialist;High;M56006;x
56007;Chief of Staff;サー・ヴィクター・スミス;70;SD;School of Fire Support;High;M56007;x
56008;Chief of Army;サー・マーヴィン・ブローガン;70;SD;Guns and Butter Doctrine;High;M56008;x
56009;Chief of Navy;サー・リチャード・ピーク;70;SD;Open Seas Doctrine;High;M56009;x
56010;Chief of Air Force;サー・チャールズ・リード;70;SD;Army Aviation Doctrine;High;M56010;x
