AUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;;Pool;Ideology;Personality;Loyalty;Picturename;x
23001;Head of State;フランツ・ヨナス;70;SD;Benevolent Gentleman;High;M23001;x
23002;Head of Government;ブルーノ・クライスキー;70;SD;Builder Bridges;High;M23002;x
23003;Foreign Minister;ルドルフ・キルヒシュレーガー;70;SD;General Staffer;High;M23003;x
23004;Minister of Armament;ハンス・アンドロシュ;70;SD;Business Person;High;M23004;x
23005;Minister of Security;オットー・レーシュ;70;SD;Silent Lawyer;High;M23005;x
23006;Head of Military Intelligence;アレクサンダー・ブシェク;70;SD;Logistics Specialist;High;M23006;x
23007;Chief of Staff;アントン・レープ;70;SD;School of Defence;High;M23007;x
23008;Chief of Army;エミール・スパンノチチ;70;SD;Armoured Spearhead Doctrine;High;M23008;x
23009;Chief of Navy;カール・スクリヴァネク;70;SD;Indirect Approach Doctrine;High;M23009;x
23010;Chief of Air Force;ヨーゼフ・ハイベック;70;SD;Air Superiority Doctrine;High;M23010;x
23011;Head of State;ブルーノ・クライスキー;74;SD;Acting Head;High;M23002;x
23012;Head of State;ルドルフ・キルヒシュレーガー;74;SD;Pig-headed Isolationist;High;M23003;x
23013;Head of State;ルドルフ・キルヒシュレーガー;74;SC;Pig-headed Isolationist;High;M23003;x
23014;Head of State;アロイス・ルッガー;74;SC;Die-hard Reformer;High;M23014;x
23015;Head of State;アロイス・ルッガー;74;SD;Die-hard Reformer;High;M23014;x
23016;Head of State;ヴィルフリート・グレードラー;80;SC;Popular Figurehead;High;M23016;x
23017;Head of State;ヴィルフリート・グレードラー;80;SD;Popular Figurehead;High;M23016;x
23018;Head of State;クルト・ヴァルトハイム;86;SC;Stern Imperialist;High;M23018;x
23019;Head of State;クルト・ヴァルトハイム;86;SD;Stern Imperialist;High;M23018;x
23020;Head of State;クルト・シュタイアー;86;SD;Insignificant Layman;High;M23020;x
23021;Head of State;クルト・シュタイアー;86;SC;Insignificant Layman;High;M23020;x
23022;Head of State;トーマス・クレスティル;92;SC;Popular Gentleman;High;M23022;x
23023;Head of State;トーマス・クレスティル;92;SD;Popular Gentleman;High;M23022;x
23024;Head of State;ルドルフ・シュトライヒャー;92;SD;Artist;High;M23024;x
23025;Head of State;ルドルフ・シュトライヒャー;92;SC;Artist;High;M23024;x
23026;Head of State;ゲルトラウド・クノール;98;SD;Benevolent Gentleman;High;M23026;x
23027;Head of State;ゲルトラウド・クノール;98;SC;Benevolent Gentleman;High;M23026;x
23028;Head of State;ハインツ・フィッシャー;2004;SD;Benevolent Gentleman;High;M23028;x
23029;Head of State;ハインツ・フィッシャー;2004;SC;Benevolent Gentleman;High;M23028;x
23030;Head of State;ベニータ・フェレロ＝ヴァルドナー;2004;SC;Die-hard Reformer;High;M23030;x
23031;Head of State;ベニータ・フェレロ＝ヴァルドナー;2004;SD;Die-hard Reformer;High;M23030;x
23032;Head of State;バルバラ・ローゼンクランツ;2010;SC;Pig-headed Isolationist;High;M23032;x
23033;Head of State;バルバラ・ローゼンクランツ;2010;SD;Pig-headed Isolationist;High;M23032;x
23034;Head of Government;ヨーゼフ・タウシュ;75;SC;Corporate Suit;High;M23034;x
23035;Head of Government;アロイス・モック;79;SC;Diplomatic Person;High;M23035;x
23036;Head of Government;フレート・ジノヴァツ;83;SD;Naive Optimist;High;M23036;x
