BEL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
15001;Head of State;ボードゥアン1世;70;SC;Autocratic Charmer;High;M15001;x
15002;Head of Government;ガストン・エイスケンス;70;SC;Industrial Prime;High;M15002;x
15003;Foreign Minister;ピエール・アルメル;70;SC;Biased Intellectual;High;M15003;x
15004;Minister of Armament;アンドレ・ヴレリック;70;SC;Business Person;High;M15004;x
15005;Minister of Security;レナート・ヴァン・エルスランド;70;SC;Compassionate Gentleman;High;M15005;x
15006;Head of Military Intelligence;ルドヴィク・ケイマックス;70;SC;Logistics Specialist;High;M15006;x
15007;Chief of Staff;アルベール・クレキリール;70;SC;School of Fire Support;High;M15007;x
15008;Chief of Army;パウル・ヴァンデン・ボイナンツ;70;SC;Static Defence Doctrine;High;M15008;x
15009;Chief of Navy;ジョルジュ・ティマーマン;70;SC;Indirect Approach Doctrine;High;M15009;x
15010;Chief of Air Force;アルベール・デベチェ;70;SC;Air Superiority Doctrine;High;M15010;x
