BRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
567001;Head of State;ハサナル・ボルキア;70;SC;Stern Imperialist;High;M567001;x
567002;Head of Government;ハサナル・ボルキア;70;SC;Flamboyant Tough Guy;High;M567001;x
567003;Foreign Minister;モハメド・ボルキア;70;SC;Iron Fisted Brute;High;M567003;x
567004;Minister of Armament;ハサナル・ボルキア;70;SC;Resource Industrialist;High;M567001;x
567005;Minister of Security;ハサナル・ボルキア;70;SC;Man of the People;High;M567001;x
567006;Head of Military Intelligence;ペンギラン・ハイ・ラジド;70;SC;Judiciary Specialist;High;M567006;x
567007;Chief of Staff;アミヌッディン・イフサン;70;SC;School of Psychology;High;M567007;x
567008;Chief of Army;ユソフ・ビン・ハジ・アブド・ラーマン;70;SC;Elastic Defence Doctrine;High;M567008;x
567009;Chief of Navy;アブドゥル・ハリム;70;SC;Indirect Approach Doctrine;High;M567009;x
567010;Chief of Air Force;ジョフリ・ビン・アブドゥッラー;70;SC;Air Superiority Doctrine;High;M567010;x
