BUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
563001;Head of State;ネ・ウィン;70;LE;Resigned Generalissimo;High;M563001;x
563002;Head of Government;ネ・ウィン;70;LE;Old General;High;M563001;x
563003;Foreign Minister;キャウ・ソー;70;LE;General Staffer;High;M563003;x
563004;Minister of Armament;財務大臣;70;LE;Military Entrepreneur;High;M563004;x
563005;Minister of Security;内務大臣;70;LE;Crime Fighter;High;M563005;x
563006;Head of Military Intelligence;情報大臣;70;LE;Dismal Enigma;High;M563006;x
563007;Chief of Staff;サン・ユー;70;LE;School of Defence;High;M563007;x
563008;Chief of Army;ティン・オー;70;LE;Decisive Battle Doctrine;High;M563008;x
563009;Chief of Navy;キー・ミン;70;LE;Power Projection Doctrine;High;M563009;x
563010;Chief of Air Force;ティン・ングエ;70;LE;Army Aviation Doctrine;High;M563010;x
