CAM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
534001;Head of State;アマドゥ・アヒジョ;70;SC;Die-hard Reformer;High;M534001;x
534002;Head of Government;アマドゥ・アヒジョ;70;SC;Flamboyant Tough Guy;High;M534001;x
534003;Foreign Minister;ヴィンセント・エフォン;70;SC;Great Compromiser;High;M534003;x
534004;Minister of Armament;シャルル・オナナ・アワナ;70;SC;Resource Industrialist;High;M534004;x
534005;Minister of Security;サイモン・アチディ・アチュ;70;SC;Crime Fighter;High;M534005;x
534006;Head of Military Intelligence;ヴルムシア・トチナイェ;70;SC;Political Specialist;High;M534006;x
534007;Chief of Staff;サドゥ・ダオウドゥ;70;SC;School of Psychology;High;M534007;x
534008;Chief of Army;サドゥ・ダオウドゥ;70;SC;Decisive Battle Doctrine;High;M534007;x
534009;Chief of Navy;ジャン・メンドゥア;70;SC;Open Seas Doctrine;High;M534009;x
534010;Chief of Air Force;ジャン・カルヴァン・モンア;70;SC;Air Superiority Doctrine;High;M534010;x
