COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
37001;Head of State;ミサエル・パストラーナ・ボレロ;70;SC;Die-hard Reformer;High;M37001;x
37002;Head of Government;ミサエル・パストラーナ・ボレロ;70;SC;Silent Workhorse;High;M37001;x
37003;Foreign Minister;アルフレド・ヴァスケス・カリゾーサ;70;SC;Ideological Crusader;Medium;M37003;x
37004;Minister of Armament;アブドン・エスピノサ・ヴァルデラマ;70;SC;Economist Minister;Medium;M37004;x
37005;Minister of Security;ロベルト・アレナス・ボニリャ;70;SC;Compassionate Gentleman;Medium;M37005;x
37006;Head of Military Intelligence;国家警察庁長官;70;SC;Dismal Enigma;Medium;M37006;x
37007;Chief of Staff;エルナンド・クレア・クビデス;70;SC;School of Defence;Medium;M37007;x
37008;Chief of Army;アルヴァロ・エレーラ・カルデロン;70;SC;Elastic Defence Doctrine;Medium;M37008;x
37009;Chief of Navy;海軍司令官;70;SC;Decisive Naval Battle Doctrine;Medium;M37009;x
37010;Chief of Air Force;ホセ・カルデロン・マロナ;70;SC;Air Superiority Doctrine;Medium;M37010;x
