COS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
47001;Head of State;ホセ・フィゲーレス・フェレール;70;SD;Die-hard Reformer;High;M47001;x
47002;Head of Government;マヌエル・アギラル・ボニリャ;70;SD;Political Protege;High;M47002;x
47003;Foreign Minister;ゴンザロ・J・ファシオ・セグレダ;70;SD;The Cloak N Dagger Schemer;High;M47003;x
47004;Minister of Armament;ベルナル・ヒメネス・モンヘ;70;SD;Economist Minister;High;M47004;x
47005;Minister of Security;アルベルト・カニャス・アスカランテ;70;SD;Man of the People;High;M47005;x
47006;Head of Military Intelligence;フェルナンド・ヴァリオ・ヒメネス;70;SD;Political Specialist;High;M47006;x
47007;Chief of Staff;フアン・ホセ・アンドラーデ・モラレス;70;SD;School of Defence;High;M47007;x
47008;Chief of Army;パブロ・ベルトッツィ・カルヴォ;70;SD;Guns and Butter Doctrine;High;M47008;x
47009;Chief of Navy;ニルス・アロンソ・チン・ヴァルガス;70;SD;Base Control Doctrine;High;M47009;x
47010;Chief of Air Force;ニルス・アロンソ・チン・ヴァルガス;70;SD;Army Aviation Doctrine;High;M47009;x
