CUB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
33001;Head of State;オスヴァルド・ドルティコス・トラード;70;LE;Benevolent Gentleman;High;M33001;x
33002;Head of Government;フィデル・カストロ;70;LE;Flamboyant Tough Guy;High;M33002;x
33003;Foreign Minister;ラウル・ロア・ガルシア;70;LE;Iron Fisted Brute;High;M33003;x
33004;Minister of Armament;オルランド・ボレゴ;70;LE;Economist Minister;High;M33004;x
33005;Minister of Security;セルヒオ・デル・ヴァレ・ヒメネス;70;LE;Man of the People;High;M33005;x
33006;Head of Military Intelligence;マヌエル・ピニェイロ;70;LE;Dismal Enigma;High;M33006;x
33007;Chief of Staff;ラウル・カストロ;70;LE;School of Mass Combat;High;M33007;x
33008;Chief of Army;セルヒオ・デル・ヴァレ・ヒメネス;70;LE;Elastic Defence Doctrine;High;M33005;x
33009;Chief of Navy;ノルベルト・コリャド・アブレウ;70;LE;Open Seas Doctrine;High;M33009;x
33010;Chief of Air Force;ラファエル・デル・ピノ;70;LE;Air Superiority Doctrine;High;M33010;x
