CZE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
24001;Head of State;ルドヴィーク・スヴォボダ;70;ST;Resigned Generalissimo;High;M24001;x
24002;Head of Government;ルボミール・シュトロウガル;70;ST;Party Coordinating;High;M24002;x
24003;Foreign Minister;ボフスラフ・フニョウペク;70;ST;Biased Intellectual;High;M24003;x
24004;Minister of Armament;ルドルフ・ロフリーチェク;70;ST;Economist Minister;High;M24004;x
24005;Minister of Security;ラドコ・カスカ;70;ST;Crime Fighter;High;M24005;x
24006;Head of Military Intelligence;ヨセフ・ブロズ;70;ST;Logistics Specialist;High;M24006;x
24007;Chief of Staff;マルチン・ドズル;70;ST;School of Mass Combat;High;M24007;x
24008;Chief of Army;カレル・ルソフ;70;ST;Decisive Battle Doctrine;High;M24008;x
24009;Chief of Navy;海軍司令官;70;ST;Base Control Doctrine;High;M24009;x
24010;Chief of Air Force;ヨゼフ・レメク;70;ST;Army Aviation Doctrine;High;M24010;x
