EGY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
512001;Head of State;アンワル・アッ＝サーダート;70;SD;Resigned Generalissimo;High;M512001;x
512002;Head of Government;アジズ・セドキ;70;SD;Industrial Prime;High;M512002;x
512003;Foreign Minister;ムハンマド・ハサン・エル＝ザッヤト;70;SD;Biased Intellectual;High;M512003;x
512004;Minister of Armament;アブド・エル・アジズ・ムハマド・ヘガジ;70;SD;laissez-faire capitalist;High;M512004;x
512005;Minister of Security;アンワル・アッ＝サーダート;70;SD;Crime Fighter;High;M512001;x
512006;Head of Military Intelligence;アフマド・アブドゥルサラム・タウフィク;70;SD;Logistics Specialist;High;M512006;x
512007;Chief of Staff;サード・アッ＝シャズリ;70;SD;School of Psychology;High;M512007;x
512008;Chief of Army;サード・アッ＝シャズリ;70;SD;Elastic Defence Doctrine;High;M512007;x
512009;Chief of Navy;フアード・ムハンマド・ザクラ;70;SD;Power Projection Doctrine;High;M512009;x
512010;Chief of Air Force;ホスニー・ムバーラク;70;SD;Carpet Bombing Doctrine;High;M512010;x
