ETH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
65001;Head of State;ハイレ・セラシエ1世;70;PA;Stern Imperialist;High;M65001;x
65002;Head of Government;アクリル・ハブテ＝ウォルド;70;PA;Naive Optimist;High;M65002;x
65003;Foreign Minister;ミナセ・ハイレ;70;PA;Ideological Crusader;High;M65003;x
65004;Minister of Armament;テフェラ・ウォルデ＝セマイト;70;PA;Former Banker;High;M65004;x
65005;Minister of Security;イルマ・デレサ;70;PA;Man of the People;High;M65005;x
65006;Head of Military Intelligence;ケテマ・イフル;70;PA;Political Specialist;High;M65006;x
65007;Chief of Staff;アビイェ・アベベ;70;PA;School of Defence;High;M65007;x
65008;Chief of Army;アビイェ・アベベ;70;PA;Guns and Butter Doctrine;High;M65007;x
65009;Chief of Navy;ハイレ・セラシエ1世;70;PA;Open Seas Doctrine;High;M65001;x
65010;Chief of Air Force;ハイレ・セラシエ1世;70;PA;Army Aviation Doctrine;High;M65001;x
