FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
29001;Head of State;ウルホ・ケッコネン;70;ML;Stern Imperialist;High;M29001;x
29002;Head of Government;カレヴィ・ソルサ;70;SL;Industrial Prime;High;M29002;x
29003;Foreign Minister;アハティ・カルヤライネン;70;ML;Ideological Crusader;Medium;M29003;x
29004;Minister of Armament;ヨハネス・ヴィロライネン;70;ML;laissez-faire capitalist;Medium;M29004;x
29005;Minister of Security;ヘイッキ・トゥオミネン;70;SL;Compassionate Gentleman;Medium;M29005;x
29006;Head of Military Intelligence;アルヴォ・ペンッティ;70;ML;Logistics Specialist;High;M29006;x
29007;Chief of Staff;カールロ・レイノネン;70;ML;School of Fire Support;High;M29007;x
29008;Chief of Army;ラウリ・ステラ;70;ML;Elastic Defence Doctrine;Medium;M29008;x
29009;Chief of Navy;ヨウコ・ピルホネン;70;ML;Open Seas Doctrine;High;M29009;x
29010;Chief of Air Force;エーロ・サルメラ;70;ML;Air Superiority Doctrine;Very High;M29010;x
