FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
2001;Head of State;ジョルジュ・ポンピドゥ;70;SC;Die-hard Reformer;High;M2001;x
2002;Head of Government;ピエール・メスメル;70;SC;Old General;High;M2002;x
2003;Foreign Minister;モーリス・シューマン;70;SC;Ideological Crusader;High;M2003;x
2004;Minister of Armament;ヴァレリー・ジスカール・デスタン;70;SC;Resource Industrialist;High;M2004;x
2005;Minister of Security;レイモン・マルスラン;70;SC;Man of the People;High;M2005;x
2006;Head of Military Intelligence;アレクサンドル・ド・マレンチェ;70;SC;Logistics Specialist;High;M2006;x
2007;Chief of Staff;フランソワ・モーラン;70;SC;School of Fire Support;High;M2007;x
2008;Chief of Army;アラン・ド・ボワシュー;70;SC;Elastic Defence Doctrine;High;M2008;x
2009;Chief of Navy;マルク・ド・ジョイベル;70;SC;Open Seas Doctrine;High;M2009;x
2010;Chief of Air Force;クラウド・グリゴー;70;SC;Air Superiority Doctrine;High;M2010;x
