GAB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
536001;Head of State;オマール・ボンゴ・オンディンバ;70;PA;Powerhungry Demagogue;High;M536001;x
536002;Head of Government;オマール・ボンゴ・オンディンバ;70;PA;Backroom Backstabber;High;M536001;x
536003;Foreign Minister;ジョルジュ・ラウィリ;70;PA;Great Compromiser;High;M536003;x
536004;Minister of Armament;アンドレ・デュドネ・ベレ;70;PA;Resource Industrialist;High;M536004;x
536005;Minister of Security;ジュール＝アリスティド・ブルデ＝オグリゲンド;70;PA;Silent Lawyer;High;M536005;x
536006;Head of Military Intelligence;ジャン・ボニファス・アッセレ;70;PA;Dismal Enigma;High;M536006;x
536007;Chief of Staff;ポール・オペラ;70;PA;School of Fire Support;High;M536007;x
536008;Chief of Army;ポール・オペラ;70;PA;Decisive Battle Doctrine;High;M536007;x
536009;Chief of Navy;エルヴェ・ナンボ;70;PA;Decisive Naval Battle Doctrine;High;M536009;x
536010;Chief of Air Force;エバン・エドゥ・マキシム;70;PA;Army Aviation Doctrine;High;M536010;x
