GLD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
551001;Head of State;イグナティウス・クツ・アチャンポン;70;PA;Resigned Generalissimo;High;M551001;x
551002;Head of Government;イグナティウス・クツ・アチャンポン;70;PA;Old General;High;M551001;x
551003;Foreign Minister;クワメ・バーフ;70;PA;General Staffer;High;M551003;x
551004;Minister of Armament;イグナティウス・クツ・アチャンポン;70;PA;Military Entrepreneur;High;M551001;x
551005;Minister of Security;J・H・コビナ;70;PA;Crime Fighter;High;M551005;x
551006;Head of Military Intelligence;エドワード・ナサニエル・ムーア;70;PA;Judiciary Specialist;High;M551006;x
551007;Chief of Staff;ナポレオン・アユレー＝ラーセン;70;PA;School of Fire Support;High;M551006;x
551008;Chief of Army;エマニュエル・アレクサンダー・アースキン;70;PA;Elastic Defence Doctrine;High;M551008;x
551009;Chief of Navy;P・F・クアイェ;70;PA;Power Projection Doctrine;High;M551009;x
551010;Chief of Air Force;チャールズ・ビューソリエル;70;PA;Air Superiority Doctrine;High;M551010;x
