GUI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
537001;Head of State;セク・トゥーレ;70;SL;Die-hard Reformer;High;M537001;x
537002;Head of Government;ルイス・ランサナ・ベアボギ;70;SL;Silent Workhorse;High;M537002;x
537003;Foreign Minister;フィリ・シソコ;70;SL;Great Compromiser;High;M537003;x
537004;Minister of Armament;サイフライェ・ディアロ;70;SL;laissez-faire capitalist;High;M537004;x
537005;Minister of Security;ムサ・ディアキテ;70;SL;Compassionate Gentleman;High;M537005;x
537006;Head of Military Intelligence;イスマエル・トゥーレ;70;SL;Industrial Specialist;High;M533006;x
537007;Chief of Staff;シアカ・トゥーレ;70;SL;School of Defence;High;M537007;x
537008;Chief of Army;シアカ・トゥーレ;70;SL;Decisive Battle Doctrine;High;M537007;x
537009;Chief of Navy;海軍司令官;70;SL;Open Seas Doctrine;High;M537009;x
537010;Chief of Air Force;空軍司令官;70;SL;Vertical Envelopment Doctrine;High;M537010;x
