HOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyality;Picture Name;x
;Replacements;;;;;;;x
8001;Head of State;ユリアナ;70;ML;Popular Figurehead;High;M8001;x
8002;Head of Government;バレント・ビースフーヴェル;70;ML;Flamboyant Tough Guy;High;M8002;x
8003;Foreign Minister;ノルベルト・シュメルツァー;70;ML;Apologetic Clerk;High;M8003;x
8004;Minister of Armament;ローロフ・ネリセン;70;ML;laissez-faire capitalist;High;M8004;x
8005;Minister of Security;モリー・ゲールツェマ;70;ML;Compassionate Gentleman;High;M8005;x
8006;Head of Military Intelligence;アルトゥール・ドクターズ・ファン・リューエン;70;SC;Dismal Enigma;High;M8006;x
8007;Chief of Staff;ウィレム・ファン・リイン;70;ML;School of Defence;High;M8007;x
8008;Chief of Army;ゲリト・エイセルスタイン;70;ML;Guns and Butter Doctrine;High;M8008;x
8009;Chief of Navy;エリック・ロースト;70;ML;Base Control Doctrine;High;M8009;x
8010;Chief of Air Force;フィリップ・ファン・デル・ヴォルフ;70;ML;Air Superiority Doctrine;High;M8010;x
