HON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
79001;Head of State;オズワルド・ロペス・アレリャーノ;70;PA;Resigned Generalissimo;High;M79001;x
79002;Head of Government;オズワルド・ロペス・アレリャーノ;70;PA;Old General;High;M79001;x
79003;Foreign Minister;チェーザル・A・バトレス;70;PA;Iron Fisted Brute;High;M79003;x
79004;Minister of Armament;ホセ・アブラハム・ベナトン・ラモス;70;PA;laissez-faire capitalist;High;M79004;x
79005;Minister of Security;フアン・アルベルト・メルガル・カストロ;70;PA;Crime Fighter;High;M79005;x
79006;Head of Military Intelligence;アミルカル・ゼラヤ・ロドリゲス;70;PA;Logistics Specialist;High;M79006;x
79007;Chief of Staff;ラウル・ガロ・ソト;70;PA;School of Psychology;High;M79007;x
79008;Chief of Army;フアン・アルベルト・メルガル・カストロ;70;PA;Elastic Defence Doctrine;High;M79005;x
79009;Chief of Navy;ドミンゴ・アルヴァレス・クルス;70;SC;Indirect Approach Doctrine;High;M79009;x
79010;Chief of Air Force;ドミンゴ・アルヴァレス・クルス;70;SC;Air Superiority Doctrine;High;M79010;x
