IND;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;;Personality;;;x
59001;Head of State;ヴァラーハギリ・ヴェンカタ・ギリ;70;SD;Die-hard Reformer;High;M59001;x
59002;Head of Government;インディラ・ガンディー;70;SD;Flamboyant Tough Guy;High;M59002;x
59003;Foreign Minister;スワラン・シン;70;SD;Great Compromiser;High;M59003;x
59004;Minister of Armament;ヤシュワントラオ・チャバン;70;SD;Man of the Workers;High;M59004;x
59005;Minister of Security;インディラ・ガンディー;70;SD;Man of the People;High;M59005;x
59006;Head of Military Intelligence;アトマ・ジャヤラム;70;SD;Dismal Enigma;High;M59006;x
59007;Chief of Staff;サム・マネクショウ;70;SD;School of Psychology;High;M59007;x
59008;Chief of Army;サム・マネクショウ;70;SD;Elastic Defence Doctrine;High;M59007;x
59009;Chief of Navy;サルダリラル・マスラダス・ナンダ;70;SD;Decisive Naval Battle Doctrine;High;M59009;x
59010;Chief of Air Force;プラタプ・チャンドラ・ラル;70;SD;Air Superiority Doctrine;High;M59010;x
