INO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
577001;Head of State;スハルト;70;SL;Resigned Generalissimo;High;M577001;x
577002;Head of Government;スハルト;70;SL;Old General;High;M577001;x
577003;Foreign Minister;アダム・マリク;70;SL;Ideological Crusader;High;M577003;x
577004;Minister of Armament;アリ・ワルダーナ;70;SL;Economist Minister;High;M577004;x
577005;Minister of Security;バスキ・ラーマト;70;SL;Crime Fighter;High;M577005;x
577006;Head of Military Intelligence;ブディアルジョ;70;SL;Logistics Specialist;High;M577006;x
577007;Chief of Staff;スハルト;70;SL;School of Fire Support;High;M577001;x
577008;Chief of Army;ウマール・ウィラハディクスマ;70;SL;Elastic Defence Doctrine;High;M577008;x
577009;Chief of Navy;スドモ;70;SL;Power Projection Doctrine;High;M577009;x
577010;Chief of Air Force;スウォト・スケンダル;70;SL;Air Quartermaster;High;M577010;x
