LBY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
576001;Head of State;ムアンマル・アル＝カッザーフィー;70;SD;Resigned Generalissimo;High;M576001;x
576002;Head of Government;アブドッサラーム・ジャルード;70;SD;Old General;High;M576002;x
576003;Foreign Minister;マンスール・ラシッド・アッ＝キヒア;70;SD;Ideological Crusader;High;M576003;x
576004;Minister of Armament;アブー＝バクル・ユーニス・ジャーベル;70;SD;Military Entrepreneur;High;M576004;x
576005;Minister of Security;バシール・フアディ;70;SD;Prince of Terror;High;M576005;x
576006;Head of Military Intelligence;アブドゥッラー・セヌッシ;70;SD;Judiciary Specialist;High;M576006;x
576007;Chief of Staff;アブー＝バクル・ユーニス・ジャーベル;70;SD;School of Psychology;High;M576004;x
576008;Chief of Army;ムアンマル・アル＝カッザーフィー;70;SD;Decisive Battle Doctrine;High;M576001;x
576009;Chief of Navy;ムアンマル・アル＝カッザーフィー;70;SD;Power Projection Doctrine;High;M576001;x
576010;Chief of Air Force;アリ・シャリフ＝アッ＝リフィ;70;SD;Air Superiority Doctrine;High;M576010;x
