LEB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
529001;Head of State;スライマーン・フランジーヤ;70;SC;Benevolent Gentleman;High;M529001;x
529002;Head of Government;サイーブ・サラーム;70;SC;Flamboyant Tough Guy;High;M529002;x
529003;Foreign Minister;カリル・アドゥ・ハマド;70;SC;General Staffer;High;M529003;x
529004;Minister of Armament;フアード・ナファー;70;SC;Theoretical Scientist;High;M529004;x
529005;Minister of Security;サイーブ・サラーム;70;SC;Crime Fighter;High;M529002;x
529006;Head of Military Intelligence;マジッド・アルスラーン;70;SC;Technical Specialist;High;M529006;x
529007;Chief of Staff;サイード・ナスラッラー;70;SC;School of Defence;High;M529007;x
529008;Chief of Army;イスカンダル・ガネム;70;SC;Decisive Battle Doctrine;High;M529008;x
529009;Chief of Navy;エミール・ラフード;70;SC;Power Projection Doctrine;High;M529009;x
529010;Chief of Air Force;エミール・ブースタニー;70;SC;Air Superiority Doctrine;High;M529010;x
