MAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
539001;Head of State;ムーサ・トラオレ;70;LE;Ruthless Powermonger;High;M539001;x
539002;Head of Government;ムーサ・トラオレ;70;LE;Old General;High;M539001;x
539003;Foreign Minister;シャルル・サムバ・シソコ;70;LE;Iron Fisted Brute;High;M539003;x
539004;Minister of Armament;ババ・ディアラ;70;LE;Military Entrepreneur;High;M539004;x
539005;Minister of Security;ティエコロ・バガヤコ;70;LE;Crime Fighter;High;M539005;x
539006;Head of Military Intelligence;キシマ・ドゥカラ;70;LE;Logistics Specialist;High;M539006;x
539007;Chief of Staff;ムーサ・トラオレ;70;LE;School of Fire Support;High;M539001;x
539008;Chief of Army;キシマ・ドゥカラ;70;LE;Guns and Butter Doctrine;High;M539006;x
539009;Chief of Navy;海軍司令官;70;LE;Open Seas Doctrine;High;M539009;x
539010;Chief of Air Force;空軍司令官;70;LE;Vertical Envelopment Doctrine;High;M539010;x
