MOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
531001;Head of State;ハサン2世;70;SC;Stern Imperialist;High;M531001;x
531002;Head of Government;アフメド・オスマン;70;SC;Flamboyant Tough Guy;High;M531002;x
531003;Foreign Minister;アフメド・タイビ・ベンヒマ;70;SC;Ideological Crusader;High;M531003;x
531004;Minister of Armament;モスタファ・サヘル;70;SC;Former Banker;High;M531004;x
531005;Minister of Security;フスニ・ベンスリマネ;70;SC;Silent Lawyer;High;M531005;x
531006;Head of Military Intelligence;モハメド・ベナイサ;70;SC;Dismal Enigma;High;M531006;x
531007;Chief of Staff;アフメド・ドリミ;70;SC;School of Psychology;High;M531007;x
531008;Chief of Army;アブデラジズ・ベナニ;70;SC;Decisive Battle Doctrine;High;M531008;x
531009;Chief of Navy;モハメド・ラグマリ;70;SC;Decisive Naval Battle Doctrine;High;M531009;x
531010;Chief of Air Force;アフメド・ブタレブ;70;SC;Army Aviation Doctrine;High;M531010;x
