NEP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
75001;Head of State;ビレンドラ;70;SC;Benevolent Gentleman;High;M75001;x
75002;Head of Government;キルティ・ニディ・ビスタ;70;SC;Silent Workhorse;High;M75002;x
75003;Foreign Minister;ギャネンドラ・バハドゥール・カルキ;70;SC;Biased Intellectual;High;M75003;x
75004;Minister of Armament;財務大臣;70;SC;Resource Industrialist;High;M75004;x
75005;Minister of Security;内務大臣;70;SC;Silent Lawyer;High;M75002;x
75006;Head of Military Intelligence;キラン・シャムセール・ラナ;70;SC;Logistics Specialist;High;M75006;x
75007;Chief of Staff;ギリ・プラサド・ブラトキ;70;SC;School of Psychology;High;M75007;x
75008;Chief of Army;ギリ・プラサド・ブラトキ;70;SC;Guns and Butter Doctrine;High;M75007;x
75009;Chief of Navy;ビレンドラ;70;SC;Base Control Doctrine;High;M75001;x
75010;Chief of Air Force;ビレンドラ;70;SC;Army Aviation Doctrine;High;M75001;x
