NOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
14001;Head of State;オーラヴ5世;57;SD;Popular Figurehead;High;M14001;x
14002;Head of Government;トリグヴェ・ブラッテリ;70;SD;Ambitious Union Boss;High;M14002;x
14003;Foreign Minister;ダグフィン・ヴォールヴィク;70;SD;Biased Intellectual;Medium;M14003;x
14004;Minister of Armament;ヨン・オラ・ノルボム;70;SL;Economist Minister;High;M14004;x
14005;Minister of Security;ペッター・モルク・コレン;70;SC;Silent Lawyer;High;M14005;x
14006;Head of Military Intelligence;グンナー・ハールスタッド;70;SD;Dismal Enigma;High;M14006;x
14007;Chief of Staff;ヘルマン・フレドリク・ウェイナー＝グンダーソン;70;SD;School of Defence;High;M14007;x
14008;Chief of Army;ヨハン・クレッペ;70;SD;Guns and Butter Doctrine;High;M14008;x
14009;Chief of Navy;ハンス・スクヨング;70;SD;Indirect Approach Doctrine;High;M14009;x
14010;Chief of Air Force;コーレ・ステンウィグ;70;SD;Carpet Bombing Doctrine;High;M14010;x
