PAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
42001;Head of State;アルフレド・ストロエスネル;70;PA;Stern Imperialist;High;M42001;x
42002;Head of Government;アルフレド・ストロエスネル;70;PA;Old General;High;M42001;x
42003;Foreign Minister;ラウル・サペナ・ポストル;70;PA;Ideological Crusader;High;M42003;x
42004;Minister of Armament;アルフレド・ストロエスネル;70;PA;Military Entrepreneur;High;M42001;x
42005;Minister of Security;サビーノ・アウグスト・モンタナロ;70;PA;Prince of Terror;High;M42005;x
42006;Head of Military Intelligence;ポルフィリオ・ペレイラ・ルイス・ディアス;70;PA;Industrial Specialist;High;M42006;x
42007;Chief of Staff;アルフレド・ストロエスネル;70;PA;School of Defence;High;M42001;x
42008;Chief of Army;アルフレド・ストロエスネル;70;PA;Static Defence Doctrine;High;M42001;x
42009;Chief of Navy;ヴァルテ・ウーゴ・ゴンサレス;70;PA;Indirect Approach Doctrine;High;M42008;x
42010;Chief of Air Force;ヴィセンテ・キノネス;70;PA;Air Superiority Doctrine;High;M42010;x
