POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
13001;Head of State;ヘンリク・ヤブヴォフスキ;70;ST;Benevolent Gentleman;High;M13001;x
13002;Head of Government;アルフレト・ウルバンスキ;70;ST;Industrial Prime;High;M13002;x
13003;Foreign Minister;ステファン・オルショフスキ;70;ST;Biased Intellectual;High;M13003;x
13004;Minister of Armament;ステファン・イェドリホフスキ;70;ST;Man of the Workers;High;M13004;x
13005;Minister of Security;ヴィエスワフ・オシエプカ;70;ST;Man of the People;High;M13005;x
13006;Head of Military Intelligence;テオドル・クフェル;70;ST;Technical Specialist;High;M13006;x
13007;Chief of Staff;ボレスワフ・ホーハ;70;ST;School of Manoeuvre;High;M13007;x
13008;Chief of Army;ヴォイチェフ・ヤルゼルスキ;70;ST;Armoured Spearhead Doctrine;High;M13008;x
13009;Chief of Navy;ルドヴィク・ヤンチシン;70;ST;Base Control Doctrine;High;M13009;x
13010;Chief of Air Force;ロマン・パシュコフスキ;70;ST;Army Aviation Doctrine;High;M13010;x
