SWE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
7001;Head of State;グスタフ6世アドルフ;50;SD;Benevolent Gentleman;High;M7001;x
7002;Head of Government;オロフ・パルメ;70;SD;Flamboyant Tough Guy;High;M7002;x
7003;Foreign Minister;クリスター・ウィックマン;70;SD;Ideological Crusader;High;M7003;x
7004;Minister of Armament;グンナー・ストレング;70;SD;laissez-faire capitalist;High;M7004;x
7005;Minister of Security;エリック・ホルムクヴィスト;70;SD;Compassionate Gentleman;High;M7005;x
7006;Head of Military Intelligence;ハンス・ホルメール;70;SD;Dismal Enigma;High;M7006;x
7007;Chief of Staff;スティグ・シネルグレン;70;SD;School of Fire Support;High;M7007;x
7008;Chief of Army;カール・エリク・アルムグレン;70;SD;Armoured Spearhead Doctrine;High;M7008;x
7009;Chief of Navy;ベングト・ルンドヴァル;70;SD;Decisive Naval Battle Doctrine;High;M7009;x
7010;Chief of Air Force;スティグ・ノレーン;70;SD;Army Aviation Doctrine;High;M7010;x
