YEM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
93001;Head of State;アブドゥル・ラーマン・アル＝イリャーニ;70;SD;Benevolent Gentleman;High;M93001;x
93002;Head of Government;カディ・アブドゥッラー・アル＝ハグリ;70;SD;Happy Amateur;High;M93002;x
93003;Foreign Minister;ムハンマド・アフマド・ヌーマン;70;SD;Biased Intellectual;High;M93003;x
93004;Minister of Armament;アブド・アル＝カリム・アル＝イリャーニ;70;SD;Resource Industrialist;High;M93004;x
93005;Minister of Security;内務大臣;70;SD;Prince of Terror;High;M93005;x
93006;Head of Military Intelligence;アフメド・アブドゥル・ラーマン・アル＝サマウィ;70;SD;Industrial Specialist;High;M93006;x
93007;Chief of Staff;モハンマド・ナーセル・アフメド・アリー;70;SD;School of Defence;High;M93007;x
93008;Chief of Army;モハンマド・ナーセル・アフメド・アリー;70;SD;Armoured Spearhead Doctrine;High;M93007;x
93009;Chief of Navy;海軍司令官;70;SD;Power Projection Doctrine;High;M93009;x
93010;Chief of Air Force;サーレハ・アル＝アフマール;70;SD;Army Aviation Doctrine;High;M93010;x
