U92;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1100001;ボーニング社;USA10;9;1930;2110;mechanics;artillery;rocketry;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100002;フォード・モーター社;T104;8;1930;2110;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100003;ケリー・ジョンソン秘密研究所;T107;8;1930;2110;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100004;ベル研究所;bell;8;1930;2110;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100005;国防高等研究所;princeton;9;1930;2110;mathematics;nuclear_physics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100006;ニューポート・ニューズ造船所;T109;9;1930;2110;naval_engineering;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100007;ニューヨーク海軍造船所;T110;7;1930;2110;naval_engineering;technical_efficiency;electronics;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100008;エドワード・テラー;T111;8;1930;2110;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100009;ノーフォーク海軍造船所;T112;9;1930;2110;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100010;レイセオン社;T113;7;1930;2110;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100011;コルト・ファイヤーアームズ;USA11;7;1930;2110;chemistry;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100012;カリフォルニア・スタンダード石油会社;T117;8;1930;2110;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100013;テキサス石油会社;T118;9;1930;2110;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100014;フィラデルフィア海軍造船所;T129;6;1930;2110;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100015;デトロイト戦車工廠;T_USA_DetroitArsenal2;7;1930;2110;artillery;electronics;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100016;IBM社;T132;7;1930;2110;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100017;レッドストーン兵器廠;REDSTONE;9;1930;2110;rocketry;management;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1100018;アメリカ航空宇宙局;T_USA_NASA;9;1930;2110;aeronautics;electronics;mathematics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
