USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
100;ボーニング社;USA10;9;1930;2110;mechanics;artillery;rocketry;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
101;ゼネラルダイノミクス;USA07;8;1930;2110;artillery;chemistry;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
104;フォード・モーター社;T104;8;1930;2110;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105;ケリー・ジョンソン秘密研究所;T107;8;1930;2110;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
106;ベル研究所;bell;8;1930;2110;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
107;高等研究所;princeton;9;1930;2110;mathematics;nuclear_physics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
108;マーモン・ヘリントン社;T108;7;1930;2110;mechanics;technical_efficiency;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
109;ニューポート・ニューズ造船所;T109;7;1930;2110;naval_engineering;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110;ニューヨーク海軍造船所;T110;7;1930;2110;naval_engineering;technical_efficiency;electronics;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
111;エドワード・テラー;T111;8;1930;2110;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
112;ノーフォーク海軍造船所;T112;8;1930;2110;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
113;レイセオン社;T113;7;1930;2110;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
114;コルト・ファイヤーアームズ;USA11;7;1930;2110;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
115;カリフォルニア・スタンダード石油会社;T117;8;1930;2110;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
116;テキサス石油会社;T118;9;1930;2110;industrial_engineering;chemistry;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
117;スミス＆ウェッソン;USA12;7;1930;2110;general_equipment;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
