ALB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8200;スカンデルベグ陸軍士官学校;T8200;1;1945;2100;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8201;ヴェリ・ラカイ;T8201;2;1970;1992;decentralized_execution;Large_unit_tactics;Infantry_Focus;Individual_Courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8202;アルバニア陸軍工業会;T8202;1;1930;2100;aeronautics;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8203;アルバニア銅山会社;T8203;2;1930;2100;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8204;艦隊海兵軍;T8204;2;1945;1991;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8205;アルバニア空軍;T8205;1;1952;2100;aeronautics;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8206;ドゥラス海軍造船所;T8206;1;1930;2100;electronics;mechanics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8207;ティラナ工業連合;T8207;2;1930;2100;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8208;ティラナ大学;T8208;1;1951;2100;chemistry;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8209;アンドレア・シュンディ;T8209;3;1956;2000;chemistry;Management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8210;ペリクリ・テタ;T8210;3;1970;2000;aeronautics;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8211;アルフレッド・モイシウ;T8211;2;1980;2050;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8212;アルバニア銀行;T8213;2;1930;2100;management;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8213;アダ航空;T8213;1;1991;2007;aeronautics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8214;アルモ石油精製;T8214;2;1991;2100;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8215;アルバニア科学アカデミー;T8215;2;1972;2100;chemistry;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8216;アリ・プログリ;T8216;3;1956;2009;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8217;ルアン・ホッジャ;T8217;2;1992;2050;decentralized_execution;Large_unit_tactics;Infantry_Focus;Individual_Courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8218;ケマル・シクルティ;T8218;2;1992;2050;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8219;デョリ・スピロラリ;T8219;2;1992;2050;aircraft_testing;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
