BUR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10000;アウン・サン;T_BUR_Aung_San;4;1940;1947;infantry_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10001;ビルマ空軍;T10009;2;1948;2100;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10002;ビルマ陸軍;T10010;4;1930;2100;large_unit_tactics;combined_arms_focus;training;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10003;ビルマ海軍;T10011;2;1940;2100;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10004;国防省;T10008;4;1960;2100;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10005;ネ・ウィン;T10004;4;1949;2100;small_unit_tactics;infantry_focus;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10006;タイク・トゥン;T10007;4;1942;2100;bomber_tactics;centralized_execution;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10007;ウー・ヌ;T_BUR_U_Nu;4;1940;2100;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10008;ビルマ鉄道連合;T10001;2;1930;2100;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10009;ラングーン大学;T10000;3;1930;2100;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
