CAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
901;アンドリュー・マクノートン;T908;5;1939;2100;infantry_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
902;アブロ・カナダ;T302;5;1945;2100;aeronautics;electronics;technical_efficiency;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
903;A・A・L・カフ;T_CAN_AA_Cuffe;5;1930;2100;fighter_tactics;aircraft_testing;decentralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
904;バラード乾船渠;T_CAN_BurrardDryDock;4;1930;2100;naval_artillery;naval_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
905;カナディア社;T_CAN_Canadair;6;1944;2100;aeronautics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
906;カナディアン・カー＆ファンドリー社;T_CAN_CanadianCarFoundrt;5;1930;2100;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
907;カナディアン・ロコモティブ・カンパニー;T_CAN_CanadianLocomotiveCompany;5;1930;2100;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
908;カナダ太平洋鉄道;T_CAN_CPR;5;1930;2100;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
909;カナディアン・ヴィッカーズ社;T_CAN_CanadianVickers;6;1930;2100;naval_engineering;aeronautics;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
910;チョークリバー研究所;T917;4;1943;2100;mathematics;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
911;カナダ太平洋鉄道アンガス工場;T_CAN_AngusShops;5;1930;2100;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
912;デ・ハビランド・カナダ;T_CAN_deHavilland;5;1930;2100;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
