DDR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7100;ドイツ国営鉄道;T7100;5;1949;1993;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7101;ベルリン・トレプトウ「フリードリヒ・エーベルト」電気機器製作会社;T7101;3;1960;1998;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7102;フラーモ製作所;T7102;4;1950;1990;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7103;ドレスデン航空機製造会社;T7103;7;1954;1996;aeronautics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7104;マンフレート・フォン・アルデンヌ;T7104;6;1930;1997;nuclear_engineering;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7105;ハインツ・ホフマン;T7105;5;1952;1985;centralized_execution;infantry_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7106;ヘルムート・グレトルップ;T7106;6;1930;1981;aeronautics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7107;フンボルト大学ベルリン;T7107;4;1949;2100;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7108;エルベヴェルフト・ボイゼンブルク造船会社;T7108;5;1949;1997;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7109;カメラヴェルケ・ニーダーゼトリッツ;T7109;3;1950;1998;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7110;クラウス・フックス;T7110;5;1940;1988;mathematics;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7111;機関車製造電気技術工場;T7111;4;1949;2000;electronics;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7112;レウナ製造会社;T7112;7;1940;1997;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7113;国家人民軍航空軍;T7113;4;1956;2000;aircraft_testing;bomber_tactics;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7114;ヴォルフガング・ラインホルト;T7114;5;1972;2000;aircraft_testing;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7115;ロブル・ヴェルケ・ツィッタウ;T7115;4;1956;1990;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7116;ザクセンリンク自動車製造会社ツヴィッカウ;T7116;4;1958;1991;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7117;ネプトゥーン造船所;T7117;5;1953;2000;electronics;general_equipment;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7118;「エルンスト・テールマン」ズール自動車・猟銃製造会社;T7118;7;1968;1990;artillery;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7119;シュヴァルツハイデ「ヴァルター・ウルブリヒト」化学会社;T7119;4;1954;1990;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7120;国営組合造船所;T7120;5;1948;1990;electronics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7121;テオドール・ホフマン;T7121;4;1987;2000;centralized_execution;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7122;ヴァルノウ・ヴァルネミュンデ造船所;T7122;5;1948;1991;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7123;ヴィルヘルム・エーム;T7123;4;1950;1987;centralized_execution;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7124;ヴィリー・シュトフ;T7124;4;1960;1999;decentralized_execution;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7125;ホルスト・シュテッヒバルト;T7125;4;1970;1989;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
