IND;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
823000;アルジャン・シン;T_IND_Arjan_Singh;5;1959;2100;fighter_tactics;aircraft_testing;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823001;アスピー・メルワン機関士;T11420;5;1930;2100;bomber_tactics;aircraft_testing;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823002;原子力機関;T11405;5;1954;2100;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823003;バーラット・エレクトロニクス社;T11400;5;1954;2100;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823004;防衛研究開発機構;T11401;6;1930;2100;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823005;フランク・メサーヴィー;T11417;6;1930;2100;decentralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823006;ガーデン・リーチ研究所;T11402;5;1930;2100;naval_engineering;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823007;砲架工場;T11410;4;1930;2100;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823008;重車輌工場;T_IND_HeavyVehicleFactory;4;1930;2100;mechanics;electronics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823009;ヒンドゥスタン航空機会社;T11403;5;1930;2100;aeronautics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823010;ホーミ・J・バーバー;T_IND_Homi_J_Bhabha;5;1930;2100;nuclear_physics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823011;インド科学大学;T11404;5;1934;2100;mathematics;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823012;インド農業研究会議;T_IND_Indian_Council_Agricultural_Research;3;1930;2100;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823013;インド国有鉄道;T11406;5;1930;2100;mechanics;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823014;イシャポール造兵廠;T_IND_IshaporeRifleFactory;4;1930;2100;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823015;ジャグディシュ・チャンドラ・ボース;T11413;6;1930;2100;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823016;K・M・カリアッパ;T_IND_Kodandera_Madappa_Cariappa;5;1947;2100;large_unit_tactics;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823017;マザゴン造船会社;T11408;4;1930;2100;naval_engineering;naval_artillery;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823018;軍事技術研究所;T11409;5;1930;2100;mechanics;management;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823019;軍需工場委員会;T11410;4;1930;2100;management;general_equipment;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823020;物理学研究所;T_IND_Physical_Research_Laboratory;3;1930;2100;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823021;クエッタ指揮幕僚学校;T_IND_Quetta_Cadet_College;4;1930;2100;large_unit_tactics;infantry_focus;centralized_execution;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823022;ラーム・ダース・カタリ;T_IND_Ram_Dass_Katari;5;1951;2100;naval_training;small_taskforce_tactics;decentralized_execution;seamanship;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823023;サム・マネクショウ;T_IND_Sam_Manekshaw;6;1947;2100;large_unit_tactics;infantry_focus;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823024;サティエンドラ・ナート・ボース;T11414;7;1930;2100;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823025;シュリ・ガンシャム・ダス・ビルラ;T11411;4;1930;2100;industrial_engineering;management;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823026;スブロト・ムケルジェー;T_IND_Subroto_Mukerjee;6;1949;2100;fighter_tactics;aircraft_testing;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823027;タタ航空;T_IND_Tata_Air_Services;3;1932;2100;aeronautics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
823028;タタ財閥;T11407;5;1930;2100;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
