ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8006;D.I.S.;disita;7;1000;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8007;フィンメッカニカ;finmeccanica;8;1000;2999;industrial_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8008;SELEX;selexita;7;1000;2999;management;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8009;ElsagDatamat;elsagita;5;1000;2999;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8010;ENEA;eneaita;7;1000;2999;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8011;イタリア陸軍;T8009;7;1000;2999;training;large_unit_tactics;decentralized_execution;small_unit_tactics;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8012;参謀本部;itgenstaff;7;1000;2999;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8013;兵站局;ukrlogistics;6;1000;2999;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8014;イタリア空軍;T8011;7;1000;2999;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8015;海軍航空隊;itnavaviation;7;1000;2999;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8016;モデナ国防大学;modenamilac;7;1000;2999;combined_arms_focus;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8017;ベレッタ;beretta;6;1000;2999;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8018;オート･メラーラ;T8001;7;1000;2999;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8019;イヴェコ;iveco;7;1000;2999;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8020;アウグスタウェストランド;agustawestland;8;1000;2999;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8021;アレーニア･アエルマッキ;aleniaaer;6;1000;2999;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8022;フィンカンティエリ;T8007;8;1000;2999;naval_engineering;naval_artillery;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8023;マリーナミリターレ;T8010;8;1000;2999;large_taskforce_tactics;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8024;海軍兵站局;itanavlog;8;1000;2999;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8025;COMFORSUB;itasubmarine;6;1000;2999;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
