MEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2200;アルベルト・サリナス・カラサ;T2205;4;1940;2100;aircraft_testing;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2201;COMESA社;T2201;3;1930;2100;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2202;セメックス社;T_MEX_Cemex;4;1930;2100;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2203;メキシコ金属会社;T2204;5;1930;2100;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2204;海軍省;T_MEX_Navy;4;1930;2100;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2205;エンリケ・エストラーダ・レイノソ;T2206;3;1930;2100;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2206;メキシコ空軍;T_MEX_FuerzaAereaMexicana;3;1930;2100;aircraft_testing;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2207;グスタボ・サリナス・カミナ;T2207;4;1930;2100;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2208;ルイス・イラム・トレド;T2209;2;1930;1943;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2209;マベ社;T_MEX_Mabe;2;1946;2100;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2210;マヌエル・アビラ・カマチョ;T2203;5;1930;2100;individual_courage;large_unit_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2211;マヌエル・サンドヴァル・ヴァジャルタ;T_MEX_ManuelSandovalVallarta;4;1930;2100;electronics;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2212;メンドーザ社;T_MEX_Mendoza;3;1930;2100;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2213;メキシコ国立自治大学;T2211;3;1930;2100;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2214;PEMEX社;T2202;4;1938;2100;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2215;PYOSA社;T_MEX_PYOSA;4;1938;2100;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2216;ラッシーニ社;T_MEX_Rassini;2;1930;2100;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2217;メキシコ海軍;T2208;4;1930;2100;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2218;国防省;T2210;3;1930;2100;centralized_execution;infantry_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2219;TNCA社;T2200;4;1930;2100;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
