##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X;;
PROV0;（搭乗中）;;;;;;;;;;X;;
PROV1;レイキャヴィク;;;;;;;;;;X;;
PROV2;フェロー諸島;;;;;;;;;;X;;
PROV3;ストーノウェイ;;;;;;;;;;X;;
PROV4;ハルガダ;;;;;;;;;;X;;
PROV5;カークウォール;;;;;;;;;;X;;
PROV6;インヴァネス;;;;;;;;;;X;;
PROV7;アバディーン;;;;;;;;;;X;;
PROV8;グラスゴー;;;;;;;;;;X;;
PROV9;ダンフリーズ;;;;;;;;;;X;;
PROV10;サンダーランド;;;;;;;;;;X;;
PROV11;ハル;;;;;;;;;;X;;
PROV12;マンチェスター;;;;;;;;;;X;;
PROV13;シェフィールド;;;;;;;;;;X;;
PROV14;バーミンガム;;;;;;;;;;X;;
PROV15;カーディフ;;;;;;;;;;X;;
PROV16;オックスフォード;;;;;;;;;;X;;
PROV17;ノリッジ;;;;;;;;;;X;;
PROV18;カレー;;;;;;;;;;X;;
PROV19;ロンドン;;;;;;;;;;X;;
PROV20;ドーバー;;;;;;;;;;X;;
PROV21;ポーツマス;;;;;;;;;;X;;
PROV22;ブリストル;;;;;;;;;;X;;
PROV23;プリマス;;;;;;;;;;X;;
PROV24;ウェックスフォード;;;;;;;;;;X;;
PROV25;コーク;;;;;;;;;;X;;
PROV26;ゴールウェイ;;;;;;;;;;X;;
PROV27;リフォード;;;;;;;;;;X;;
PROV28;ベルファスト;;;;;;;;;;X;;
PROV29;ロンドンデリー;;;;;;;;;;X;;
PROV30;ダブリン;;;;;;;;;;X;;
PROV31;マルタ島;;;;;;;;;;X;;
PROV32;ブレスト;;;;;;;;;;X;;
PROV33;レンヌ;;;;;;;;;;X;;
PROV34;ロリアン;;;;;;;;;;X;;
PROV35;ナント;;;;;;;;;;X;;
PROV36;ルマン;;;;;;;;;;X;;
PROV37;アヴランシュ;;;;;;;;;;X;;
PROV38;シェルブール;;;;;;;;;;X;;
PROV39;カーン;;;;;;;;;;X;;
PROV40;アルジャンタン;;;;;;;;;;X;;
PROV41;ルアーヴル;;;;;;;;;;X;;
PROV42;アミアン;;;;;;;;;;X;;
PROV43;ダンケルク;;;;;;;;;;X;;
PROV44;リール;;;;;;;;;;X;;
PROV45;ブルッヘ;;;;;;;;;;X;;
PROV46;ロッテルダム;;;;;;;;;;X;;
PROV47;アムステルダム;;;;;;;;;;X;;
PROV48;ミデルブルフ;;;;;;;;;;X;;
PROV49;アイントホーフェン;;;;;;;;;;X;;
PROV50;アントワープ;;;;;;;;;;X;;
PROV51;ブリュッセル;;;;;;;;;;X;;
PROV52;モンス;;;;;;;;;;X;;
PROV53;プラハティッエ;;;;;;;;;;X;;
PROV54;コンピエーニュ;;;;;;;;;;X;;
PROV55;ランス;;;;;;;;;;X;;
PROV56;パリ;;;;;;;;;;X;;
PROV57;シャルトル;;;;;;;;;;X;;
PROV58;トゥール;;;;;;;;;;X;;
PROV59;ボルドー;;;;;;;;;;X;;
PROV60;ポワチエ;;;;;;;;;;X;;
PROV61;ブールジュ;;;;;;;;;;X;;
PROV62;オルレアン;;;;;;;;;;X;;
PROV63;トロワ;;;;;;;;;;X;;
PROV64;シャロン＝シュル＝マルヌ;;;;;;;;;;X;;
PROV65;ナミュール;;;;;;;;;;X;;
PROV66;アーヘン;;;;;;;;;;X;;
PROV67;エッセン;;;;;;;;;;X;;
PROV68;リエージュ;;;;;;;;;;X;;
PROV69;ハッセルト;;;;;;;;;;X;;
PROV70;アーロン;;;;;;;;;;X;;
PROV71;ルクセンブルク;;;;;;;;;;X;;
PROV72;メス;;;;;;;;;;X;;
PROV73;ストラスブール;;;;;;;;;;X;;
PROV74;ザールブリュッケン;;;;;;;;;;X;;
PROV75;ケルン;;;;;;;;;;X;;
PROV76;デュッセルドルフ;;;;;;;;;;X;;
PROV77;アーネム;;;;;;;;;;X;;
PROV78;フローニンゲン;;;;;;;;;;X;;
PROV79;エンスヘーデ;;;;;;;;;;X;;
PROV80;ヴィルヘルムスハーフェン;;;;;;;;;;X;;
PROV81;ミュンスター;;;;;;;;;;X;;
PROV82;カッセル;;;;;;;;;;X;;
PROV83;バイロイト;;;;;;;;;;X;;
PROV84;エアフルト;;;;;;;;;;X;;
PROV85;ローゼンハイム;;;;;;;;;;X;;
PROV86;ハノーファー;;;;;;;;;;X;;
PROV87;ブレーメン;;;;;;;;;;X;;
PROV88;ハンブルク;;;;;;;;;;X;;
PROV89;リューベック;;;;;;;;;;X;;
PROV90;キール;;;;;;;;;;X;;
PROV91;オーベンロー;;;;;;;;;;X;;
PROV92;オールボー;;;;;;;;;;X;;
PROV93;マルメ;;;;;;;;;;X;;
PROV94;セルプホフ;;;;;;;;;;X;;
PROV95;マラジェチナ;;;;;;;;;;X;;
PROV96;ヴィスビュー;;;;;;;;;;X;;
PROV97;カルマル;;;;;;;;;;X;;
PROV98;イェーテボリ;;;;;;;;;;X;;
PROV99;シェヴデ;;;;;;;;;;X;;
PROV100;リンシェーピング;;;;;;;;;;X;;
PROV101;ストックホルム;;;;;;;;;;X;;
PROV102;スウォニム;;;;;;;;;;X;;
PROV103;マリエハムン;;;;;;;;;;X;;
PROV104;フレドリクスタ;;;;;;;;;;X;;
PROV105;オレブロ;;;;;;;;;;X;;
PROV106;カールシュタット;;;;;;;;;;X;;
PROV107;オスロ;;;;;;;;;;X;;
PROV108;クリスチャンサン;;;;;;;;;;X;;
PROV109;スタヴァンゲル;;;;;;;;;;X;;
PROV110;ライカンゲル;;;;;;;;;;X;;
PROV111;ハンメル;;;;;;;;;;X;;
PROV112;ドランメン;;;;;;;;;;X;;
PROV113;イェヴレ;;;;;;;;;;X;;
PROV114;シーエン;;;;;;;;;;X;;
