Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アラナ;9008001;U09;1973;1998;2004;2012;3;4;0;1;0;4;0;L210000;1973;2100;x
アルベンス・グスマン;9008002;U09;1973;1998;2004;2012;3;3;0;0;0;3;0;L210001;1973;2100;x
ブエナベントゥレ・ピネダ;9008003;U09;1973;1998;2004;2012;2;3;1;0;0;3;0;L210002;1973;2100;x
カスティリョ・アルマス;9008004;U09;1973;1998;2004;2012;2;3;0;1;0;4;0;L210003;1973;2100;x
チャコン・デ・レオン;9008005;U09;1973;1998;2004;2012;2;5;262271;1;0;4;0;L210004;1973;2100;x
ディアス・デ・レオン;9008006;U09;1973;1998;2004;2012;3;4;4;0;0;3;0;L210005;1973;2100;x
フロレス・アベンダノ;9008007;U09;1973;1998;2004;2012;3;4;0;0;0;4;0;L210006;1973;2100;x
オレリャナ;9008008;U09;1973;1998;2004;2012;1;3;2;1;0;3;0;L210007;1973;2100;x
オルティス・エスカランテ;9008009;U09;1973;1998;2004;2012;3;3;256;0;0;5;0;L210008;1973;2100;x
ポンセ・バイデス;9008010;U09;1973;1998;2004;2012;1;3;0;1;0;3;0;L210009;1973;2100;x
ウビコ・カスタネダ;9008011;U09;1973;1998;2004;2012;1;4;1;1;0;4;0;L210010;1973;2100;x
ビジャフランコ・メンドーサ;9008012;U09;1973;1998;2004;2012;3;4;0;0;0;5;0;L210011;1973;2100;x
ビジャグラン・アリサ;9008013;U09;1973;1998;2004;2012;2;4;64;1;0;3;0;L210012;1973;2100;x
イディゴラス・フエンテス;9008014;U09;1973;1998;2004;2012;3;4;128;0;0;5;0;L210013;1973;2100;x
エスイラ・アベル;9008015;U09;1973;1998;2004;2012;3;3;0;0;0;3;1;L210014;1973;2100;x
メンドーサ・アラウハ;9008016;U09;1973;1998;2004;2012;3;3;1024;0;0;4;1;L210015;1973;2100;x
メンドーサ・ウリベ;9008017;U09;1973;1998;2004;2012;2;3;0;1;0;4;1;L210016;1973;2100;x
トリエリョ・ガリド;9008018;U09;1973;1998;2004;2012;2;3;8192;1;0;3;1;L210017;1973;2100;x
ブエナベントゥレ・ピネダ;9008019;U09;1973;1998;2004;2012;2;3;0;1;0;3;2;L210018;1973;2100;x
ガルシア・グラナドス;9008020;U09;1973;1998;2004;2012;3;3;0;0;0;3;2;L210019;1973;2100;x
マルティネス・カストロ;9008021;U09;1973;1998;2004;2012;3;3;0;0;0;2;2;L210020;1973;2100;x
ペラルタ・アスルディア;9008022;U09;1973;1998;2004;2012;2;4;0;1;0;3;2;L210021;1973;2100;x
テッシュ・オルランド;9008023;U09;1973;1998;2004;2012;2;4;0;1;0;4;2;L210022;1973;2100;x
アギレ・イ・サリナス;9008024;U09;1973;1998;2004;2012;3;4;256;0;0;5;0;L360001;1973;2100;x
アンヘル・カスティリョ;9008025;U09;1973;1998;2004;2012;3;4;1;0;0;1;0;L360002;1973;2100;x
クルベロ・エルナンデス;9008026;U09;1973;1998;2004;2012;3;3;128;0;0;5;0;L360006;1973;2100;x
