Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
エンヴェル・ホッジャ;34580;ALB;1970;1970;1970;1970;0;6;2;2;0;3;0;M32001;1970;1985;x
エンヴェル・ホッジャ;34581;ALB;1970;1970;1970;1970;0;5;0;1;0;3;1;M32001;1970;1985;x
メフメット・シェフー;34582;ALB;1970;1970;1970;2100;1;4;4;1;0;2;0;M32002;1970;1981;x
ジェマル・ジュンクシ;34583;ALB;2009;2100;2100;2100;2;5;0;0;0;2;0;M32150;2009;2100;x
アルフレッド・モイシウ;34584;ALB;1970;2100;2100;2100;3;5;32;1;0;2;0;M32018;1970;1985;x
ハジ・レシ;34585;ALB;1970;1970;2100;2100;2;5;1;0;0;2;0;M32011;1970;1982;x
ペトリト・デューメ;34586;ALB;1970;1970;2100;2100;2;5;8;1;0;2;0;M32007;1970;1974;x
サミ・メチョラリ;34587;ALB;1970;2100;2100;2100;3;4;0;0;0;2;0;M32094;1970;1986;x
ヴェリ・ラカイ;34588;ALB;1970;2100;2100;2100;3;5;2;1;0;2;0;M32095;1970;1982;x
キチョ・ムスタキ;34589;ALB;1980;2100;2100;2100;3;4;0;0;0;2;0;M32096;1980;1991;x
ハリム・アバジ;34590;ALB;1991;2100;2100;2100;3;4;16;0;0;2;0;M32097;1991;2000;x
コスタク・カロリ;34591;ALB;1990;2100;2100;2100;3;5;4;1;0;2;0;M32099;1991;2010;x
コスタク・カロリ;34592;ALB;1990;2100;2100;2100;3;5;0;0;0;2;1;M32099;1991;2010;x
コスタク・カロリ;34593;ALB;1990;2100;2100;2100;3;5;0;0;0;2;2;M32099;1991;2010;x
イリア・ヴァショ;34594;ALB;1975;1980;1992;2100;1;5;1;1;0;2;0;M32100;1975;1997;x
シェメ・コソヴォ;34595;ALB;1970;1980;1990;2100;1;5;2;2;0;2;0;M32101;1970;1997;x
アデム・チョパニ;34596;ALB;1980;2100;2100;2100;3;5;0;0;0;2;0;M32102;1980;1997;x
アレクス・アンドーニ;34597;ALB;1990;2100;2100;2100;3;5;2;0;0;2;0;M32104;1990;2010;x
ペルムブ・カジミ;34598;ALB;1990;2000;2100;2100;2;5;64;1;0;2;0;M32105;1990;2010;x
ルアン・ホッジャ;34599;ALB;1990;2100;2100;2100;3;5;2;0;0;2;0;M32107;1990;2010;x
マクシム・マライ;34600;ALB;1990;2100;2100;2100;3;5;0;0;0;2;0;M32108;1990;2100;x
プロコプ・ムラー;34601;ALB;1970;2100;2100;2100;3;4;1;0;0;2;0;M32121;1970;1990;x
ペリクリ・テタ;34602;ALB;1970;2100;2100;2100;3;5;0;1;0;2;2;M32123;1970;2000;x
ケマル・シクルティ;34603;ALB;1990;2100;2100;2100;3;5;0;1;0;2;1;M32134;1990;2100;x
ジベル・ドゥシク;34604;ALB;2000;2100;2100;2100;3;5;32;0;0;2;0;M32135;2000;2100;x
デョリ・スピロラリ;34605;ALB;2000;2100;2100;2100;3;5;0;1;0;2;2;M32149;2000;2100;x
