Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アレン;54000;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54000;1973;2110;x
アンダーソン;54001;AST;1973;1998;2004;2012;2;4;0;2;0;5;0;L54001;1973;2110;x
バーカー;54002;AST;1973;1998;2004;2012;3;4;2;1;0;5;0;L54002;1973;2110;x
ビーヴァス;54003;AST;1973;1998;2004;2012;2;6;0;2;0;5;0;L54003;1973;2110;x
ベネット;54004;AST;1973;1998;2004;2012;2;6;1;2;0;5;0;L54004;1973;2110;x
ベリーマン;54005;AST;1973;1998;2004;2012;2;6;1;3;0;5;0;L54005;1973;2110;x
ビンガム＝ホワイト;54006;AST;1973;1998;2004;2012;1;5;518;1;0;5;0;L54006;1973;2110;x
ブラックバーン;54007;AST;1973;1998;2004;2012;3;4;1;1;0;5;0;L54007;1973;2110;x
ブレイミー;54008;AST;1973;1998;2004;2012;1;5;5;3;0;5;0;L54008;1973;2110;x
ボーズ;54009;AST;1973;1998;2004;2012;2;5;0;2;0;5;0;L54009;1973;2110;x
ブリッジフォード;54010;AST;1973;1998;2004;2012;2;5;0;2;0;5;0;L54010;1973;2110;x
バロウズ;54011;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54011;1973;2110;x
キャラハン;54012;AST;1973;1998;2004;2012;3;4;64;1;0;5;0;L54012;1973;2110;x
キャメロン;54013;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54013;1973;2110;x
カナン;54014;AST;1973;1998;2004;2012;2;4;513;2;0;5;0;L54014;1973;2110;x
クロウズ;54015;AST;1973;1998;2004;2012;3;4;0;2;0;5;0;L54015;1973;2110;x
クレモール;54016;AST;1973;1998;2004;2012;3;6;3;1;0;5;0;L54016;1973;2110;x
ドアティ;54017;AST;1973;1998;2004;2012;2;4;2;2;0;5;0;L54017;1973;2110;x
イースティック;54018;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54018;1973;2110;x
イーサー;54019;AST;1973;1998;2004;2012;2;4;1;2;0;5;0;L54019;1973;2110;x
エヴァンズ;54020;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54020;1973;2110;x
ファーガソン;54021;AST;1973;1998;2004;2012;3;4;128;1;0;5;0;L54021;1973;2110;x
フィールド;54022;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54022;1973;2110;x
ゴッドフリー;54023;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54023;1973;2110;x
ヘリング;54024;AST;1973;1998;2004;2012;2;6;0;3;0;5;0;L54024;1973;2110;x
キーティング;54025;AST;1973;1998;2004;2012;3;5;514;1;0;5;0;L54025;1973;2110;x
キング;54026;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54026;1973;2110;x
ラングレー;54027;AST;1973;1998;2004;2012;2;4;513;1;0;5;0;L54027;1973;2110;x
ラヴァラック;54028;AST;1973;1998;2004;2012;2;7;1;3;0;5;0;L54028;1973;2110;x
リンド;54029;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54029;1973;2110;x
C・E・M・ロイド;54030;AST;1973;1998;2004;2012;3;4;1;1;0;5;0;L54030;1973;2110;x
H・W・ロイド;54031;AST;1973;1998;2004;2012;2;6;514;2;0;5;0;L54031;1973;2110;x
J・E・ロイド;54032;AST;1973;1998;2004;2012;3;5;256;1;0;5;0;L54032;1973;2110;x
マッケイ;54033;AST;1973;1998;2004;2012;1;6;576;4;0;5;0;L54033;1973;2110;x
マッケンジー;54034;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54034;1973;2110;x
ミルフォード;54035;AST;1973;1998;2004;2012;3;4;2;1;0;5;0;L54035;1973;2110;x
モースヘッド;54036;AST;1973;1998;2004;2012;2;7;1;4;0;5;0;L54036;1973;2110;x
マレー;54037;AST;1973;1998;2004;2012;3;4;0;2;0;5;0;L54037;1973;2110;x
ノース;54038;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54038;1973;2110;x
ノースコット;54039;AST;1973;1998;2004;2012;2;6;0;3;0;5;0;L54039;1973;2110;x
フィリップス;54040;AST;1973;1998;2004;2012;3;4;544;1;0;5;0;L54040;1973;2110;x
プラント;54041;AST;1973;1998;2004;2012;2;5;0;2;0;5;0;L54041;1973;2110;x
ポーター;54042;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54042;1973;2110;x
ポッツ;54043;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54043;1973;2110;x
ラムゼー;54044;AST;1973;1998;2004;2012;3;4;64;2;0;5;0;L54044;1973;2110;x
ロバートソン;54045;AST;1973;1998;2004;2012;2;6;128;2;0;5;0;L54045;1973;2110;x
ローウェル;54046;AST;1973;1998;2004;2012;2;5;0;2;0;5;0;L54046;1973;2110;x
サンドーヴァー;54047;AST;1973;1998;2004;2012;3;4;0;1;0;5;0;L54047;1973;2110;x
サヴィジ;54048;AST;1973;1998;2004;2012;2;6;0;2;0;5;0;L54048;1973;2110;x
スマート;54049;AST;1973;1998;2004;2012;1;4;0;3;0;5;0;L54049;1973;2110;x
