Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アレクシウス・バッティアン;2700;AUS;1979;1980;1981;2100;1;6;2;2;0;5;0;L2700;1979;1985;x
オットマー・コンメンダ;2701;AUS;2001;2008;2013;2100;1;6;1;2;0;5;0;M23117;2001;2020;x
エドムント・エンタヒェル;2702;AUS;1992;2003;2008;2100;1;6;0;2;0;5;0;M23115;1992;2013;x
ローラント・エルトル;2703;AUS;1982;1995;2002;2100;1;6;1;2;0;5;0;M23113;1982;2008;x
エドゥアルト・ファリー;2704;AUS;1980;1985;1990;2100;1;6;3;1;0;5;0;L2704;1980;1994;x
カール＝ハインツ・フィッツァル;2705;AUS;1986;1992;1999;2100;1;6;4;1;0;5;0;L2705;1986;2004;x
ジークベルト・クレウター;2706;AUS;1974;1985;1992;2100;1;6;256;2;0;5;0;L2706;1974;1994;x
フランツ・エドゥアルト・キューネル;2707;AUS;1981;1991;1994;2100;1;6;128;2;0;5;0;L2707;1981;2007;x
エンゲルベルト・ラグラー;2708;AUS;1982;1994;2001;2100;1;6;4;2;0;5;0;L2708;1982;2002;x
ロベルト・ラング;2709;AUS;1976;1981;1985;2100;1;6;8;1;0;5;0;L2709;1976;1985;x
エンゲルベルト・ラグラー;2710;AUS;1982;1994;2001;2100;1;6;4;2;0;5;0;L2710;1982;2002;x
カール・マイヘン;2711;AUS;1982;1990;1995;2100;1;6;0;2;0;5;0;M23109;1982;1999;x
アロイス・ニッチュ;2712;AUS;1972;1977;1980;2100;1;6;2;1;0;5;0;L2712;1972;1980;x
ホルスト・プレイナー;2713;AUS;1990;1995;2002;2100;1;6;2;2;0;5;0;M23111;1990;2002;x
ライムンド・シッテンヘルム;2714;AUS;1987;1990;2002;2100;1;7;128;2;0;5;0;L2714;1987;2011;x
アウグスト・セーグル＝カバナク;2715;AUS;1980;1983;1986;2100;1;7;128;2;0;5;0;L2715;1980;1987;x
エミール・スパンノチチ;2716;AUS;1957;1963;1973;2100;1;7;128;2;0;5;0;M23008;1957;1986;x
カール・ヴォールゲムート;2717;AUS;1973;1976;1982;2100;1;7;16;2;0;5;0;L2717;1973;1983;x
カール・アレクサンダー・ヴォールゲムート;2718;AUS;2000;2100;2100;2100;3;5;0;0;0;5;0;L2718;2000;2020;x
アントン・レープ;2719;AUS;1961;1965;1971;2100;1;7;2;2;0;5;0;M23007;1957;1977;x
フーベルト・ヴィンゲルバウアー;2720;AUS;1966;1971;1976;2100;1;6;4;2;0;5;0;M23103;1966;1981;x
ベルンハルト・ベール;2721;AUS;2002;2009;2100;2100;2;6;0;1;0;5;0;L2721;2002;2020;x
ヨハン・チュリク;2722;AUS;1999;2011;2100;2100;2;6;1;1;0;5;0;L2722;1999;2012;x
ヴィルヘルム・フィグル;2723;AUS;1984;1990;2100;2100;2;6;4;1;0;5;0;L2723;1984;2008;x
ディートマー・フランツィスチ;2724;AUS;2000;2008;2100;2100;2;6;0;1;0;5;0;L2724;2000;2013;x
ノルベルト・ゲハルト;2725;AUS;2009;2013;2100;2100;2;6;1;1;0;5;0;L2725;2009;2020;x
ギュンター・ヘーフラー;2726;AUS;1999;2012;2100;2100;2;7;128;2;0;5;0;L2726;1999;2020;x
ヘルムート・クレウツフーバー;2727;AUS;1985;1993;2100;2100;2;6;0;1;0;5;0;L2727;1985;2001;x
フランツ・レイトゲプ;2728;AUS;2002;2013;2100;2100;2;6;0;1;0;5;0;L2728;2002;2020;x
フランツ・ライスナー;2729;AUS;2006;2012;2100;2100;2;6;32;1;0;5;0;L2729;2006;2020;x
フランツ・ライスナー;2730;AUS;1991;2012;2100;2100;2;6;0;0;0;5;2;L2729;1991;2020;x
ハンス・リードル;2731;AUS;1966;1975;2100;2100;2;6;256;1;0;5;0;L2731;1966;1982;x
カール・シュミットセーダー;2732;AUS;2008;2013;2100;2100;2;6;0;2;0;5;0;L2732;1966;2020;x
クリスティアン・セーグル＝カバナク;2733;AUS;1993;2008;2100;2100;2;6;128;1;0;5;0;L2733;1993;2013;x
ヴォルフガング・ヴォソルソベ;2734;AUS;2001;2013;2100;2100;2;6;16;2;0;5;0;L2734;2001;2020;x
フリードリヒ・アドラリオ;2735;AUS;1973;2100;2100;2100;3;7;128;2;0;5;0;L2735;1973;1983;x
フランツ・ヨーゼフ・アッテムス＝ペッツェンシュタイン;2736;AUS;1968;2100;2100;2100;3;6;64;1;0;5;0;L2736;1968;1979;x
ヴォルフガング・ジルケ;2737;AUS;2000;2100;2100;2100;3;5;0;1;0;5;0;L2737;2000;2020;x
カール・エスターライヒェル;2738;AUS;1969;2100;2100;2100;3;5;64;0;0;5;0;L2738;1969;1979;x
カール・セムリッチュ;2739;AUS;1980;2100;2100;2100;3;6;2;2;0;5;0;L2739;1980;2006;x
ノルベルト・シン;2740;AUS;2001;2100;2100;2100;3;6;4;1;0;5;0;L2740;2001;2020;x
エーリヒ・ヴォルフ;2741;AUS;1992;2100;2100;2100;3;6;8192;1;0;5;2;M23138;1992;2007;x
フリードリヒ・ビルサク;2742;AUS;1968;2100;2100;2100;3;6;4;1;0;5;0;L2742;1968;1975;x
ピーター・フィッヒテンバウアー;2743;AUS;2005;2100;2100;2100;3;5;0;0;0;5;0;L2743;2005;2020;x
ヴァルター・ギッチュターラー;2744;AUS;2012;2100;2100;2100;3;6;0;1;0;5;0;L2744;2012;2020;x
ヴァルター・グロス;2745;AUS;1970;2100;2100;2100;3;5;8;1;0;5;0;L2745;1970;1980;x
ピーター・グリュンヴァルト;2746;AUS;2009;2100;2100;2100;3;6;256;1;0;5;0;L2746;2009;2020;x
アロイス・ヒルシュムグル;2747;AUS;2003;2100;2100;2100;3;4;0;0;0;5;0;L2747;2003;2020;x
ヴォルフガング・ユング;2748;AUS;1994;2100;2100;2100;3;5;0;0;0;5;0;L2748;1994;1996;x
エルンスト・コンツェット;2749;AUS;2006;2100;2100;2100;3;6;256;1;0;5;0;L2749;2006;2020;x
ハンス・ヘルムート・モーゼル;2750;AUS;1975;2100;2100;2100;3;5;0;1;0;5;0;L2750;1975;1978;x
フーゴ・オンイェルト;2751;AUS;1978;2100;2100;2100;3;5;32;1;0;5;0;L2751;1978;1988;x
ゴットフリート・シュレーケンフフス;2752;AUS;2002;2100;2100;2100;3;5;0;1;0;5;0;L2752;2002;2009;x
ギュンター・スパト;2753;AUS;2002;2100;2100;2100;3;5;0;1;0;5;0;L2753;2002;2012;x
トーマス・シュターリンガー;2754;AUS;2007;2100;2100;2100;3;6;4;2;0;5;0;L2754;2007;2020;x
ルドルフ・シュトリーディンガー;2755;AUS;2004;2100;2100;2100;3;6;2;1;0;5;0;L2755;2004;2020;x
トーマス・トレウ;2756;AUS;2003;2100;2100;2100;3;4;0;0;0;5;0;L2756;2003;2013;x
クルト・ヴァーグナー;2757;AUS;2006;2100;2100;2100;3;6;0;2;0;5;0;L2757;2006;2020;x
ヘルムート・ヴァイス;2758;AUS;1993;2100;2100;2100;3;5;4;1;0;5;0;L2758;1993;2008;x
アントン・ヴェゼリー;2759;AUS;2005;2100;2100;2100;3;5;128;1;0;5;0;L2759;2005;2020;x
マルクス・ハプスブルク＝ロートリンゲン;2760;AUS;1970;2100;2100;2100;3;5;0;1;0;5;1;L2760;1970;2020;x
カール・スクリヴァネク;2761;AUS;1970;2100;2100;2100;3;5;0;1;0;5;1;M23009;1970;2020;x
ラインハルト・シュトランドナー;2762;AUS;1970;2100;2100;2100;3;5;0;1;0;5;1;M23135;1970;2020;x
ヨーゼフ・ハイベック;2763;AUS;1956;2100;2100;2100;3;7;4096;2;0;5;2;M23010;1956;1977;x
ハインツ・シャルフ;2764;AUS;1970;1970;1981;2100;1;6;0;2;0;5;0;M23105;1970;1986;x
オットマー・タウシッツ;2765;AUS;1970;1980;1986;2100;1;6;0;2;0;5;0;M23105;1970;1990;x
エルンスト・ベルナディナー;2766;AUS;1970;1970;1981;2100;1;6;0;1;0;5;0;M23120;1970;1984;x
ヨハン・フィリップ;2767;AUS;1970;1975;1984;2100;1;6;0;1;0;5;0;M23122;1970;1990;x
ゴットフリート・コイナー;2768;AUS;1970;1970;1971;2100;1;6;128;1;0;5;0;L2768;1970;1976;x
グスタフ・ヴェインコプ;2769;AUS;1970;1970;1970;2100;1;6;64;1;0;5;0;L2769;1970;1976;x
エルヴィン・イェッツル;2770;AUS;1970;1970;1976;2100;1;6;2;1;0;5;0;L2770;1970;1979;x
ライムント・トルクサ;2771;AUS;1970;1970;1979;2100;1;6;0;1;0;5;0;L2771;1970;1984;x
イグナツ・ライヒェル;2772;AUS;1970;1970;1970;2100;1;6;0;1;0;5;0;L2772;1970;1980;x
オットー・アウスヴェーガー;2773;AUS;1970;1970;1972;2100;1;6;0;1;0;5;0;L2773;1970;1980;x
#フーベルト・オーバーマイル;2774;AUS;1970;1970;1971;2100;1;7;64;2;0;5;0;L2774;1970;1980;x
パウル・ルーベ;2774;AUS;1970;1970;1970;2100;1;7;16384;2;0;5;2;M23140;1970;1980;x
#ヘルムート・ベルガー;2774;AUS;1970;1970;1974;2100;1;6;0;1;0;5;0;L2774;1970;1977;x
ヨハン・トレッター;2775;AUS;1970;2100;2100;2100;3;6;128;1;0;5;0;L2775;1970;1980;x
グスタフ・ゴルヤ;2776;AUS;1970;1984;2100;2100;2;6;8192;2;0;5;2;M23142;1970;1980;x
オットマー・パヴィシュ;2777;AUS;1970;1975;1980;2100;1;6;32768;2;0;5;2;M23144;1970;1990;x
ヨーゼフ・マロルツ;2778;AUS;1980;2100;2100;2100;3;5;128;1;0;5;0;L2778;1980;1990;x
カール・シュレムス;2779;AUS;1970;1970;1975;2100;1;6;1;1;0;5;0;L2779;1970;1981;x
フリードリヒ・ディアラー;2780;AUS;1985;2000;2100;2100;2;6;2;1;0;5;0;L2780;1985;2003;x
フーベルト・アルブレヒト;2781;AUS;1980;2100;2100;2100;3;5;0;1;0;5;0;L2781;1980;2000;x
マクシミリアン・リープミンガー;2782;AUS;1980;2100;2100;2100;3;5;0;1;0;5;0;L2782;1980;2000;x
カール・シェーラー;2783;AUS;1980;1990;2100;2100;2;6;0;1;0;5;0;L2783;1980;2000;x
エルンスト・メールカー;2784;AUS;1980;2100;2100;2100;3;5;0;1;0;5;0;L2784;1980;2000;x
ミヒャエル・アンネヴァンター;2785;AUS;1980;2100;2100;2100;3;5;0;1;0;5;0;L2785;1980;2000;x
ヴィンフリート・マティス;2786;AUS;1980;2100;2100;2100;3;5;0;1;0;5;0;L2786;1980;2000;x
フリードリヒ・マテルナ;2787;AUS;1980;2100;2100;2100;3;5;0;1;0;5;0;L2787;1980;1990;x
ローター・ブロシュ＝フォフラハイム;2788;AUS;1970;1975;1980;2100;1;6;4;1;0;5;0;L2788;1970;1990;x
