Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
コープマン;7500;BEL;1003;1003;1003;1003;0;3;129;3;0;5;0;L7500;1003;2020;x
マヒエル;7501;BEL;1003;1003;1003;1003;0;2;4;2;0;5;0;L7501;1003;2020;x
ヴァンディンゲネン;7502;BEL;1003;1003;1003;2100;1;2;0;2;0;5;0;L7502;1003;2020;x
オリエンテル;7503;BEL;1003;1003;1003;2100;1;3;2;3;0;5;0;L7503;1003;2020;x
ヴァンデール;7504;BEL;1003;1003;1003;2100;1;3;0;3;0;5;0;L7504;1003;2020;x
ヴァンホーフ;7505;BEL;1003;1003;2100;2100;2;2;1;2;0;5;0;L7505;1003;2020;x
デュボイス;7506;BEL;1003;1003;2100;2100;2;1;0;1;0;5;0;L7506;1003;2020;x
ランバート;7507;BEL;1003;1003;2100;2100;2;3;16;3;0;5;0;L7507;1003;2020;x
マーティン;7508;BEL;1003;1003;2100;2100;2;1;0;1;0;5;0;L7508;1003;2020;x
ヤンセンス;7509;BEL;1003;1003;2100;2100;2;3;0;3;0;5;0;L7509;1003;2020;x
デュモ;7510;BEL;1003;1003;2100;2100;2;3;133;3;0;5;0;L7510;1003;2020;x
ペータース;7511;BEL;1003;1003;2100;2100;2;2;0;2;0;5;0;L7511;1003;2020;x
ランハー;7512;BEL;1003;1003;2100;2100;2;2;128;2;0;5;0;L7512;1003;2020;x
マース;7513;BEL;1003;1003;2100;2100;2;2;0;2;0;5;0;L7513;1003;2020;x
ヘルマンス;7514;BEL;1003;1003;1003;1003;0;2;2048;2;0;5;1;L7514;1003;2020;x
ハートエーラー;7515;BEL;1003;1003;1003;1003;0;4;0;4;0;5;1;L7515;1003;2020;x
フータールズ;7516;BEL;1003;1003;1003;1003;0;3;1024;3;0;5;1;L7516;1003;2020;x
ピノー;7517;BEL;1003;1003;1003;2100;1;2;4096;2;0;5;1;L7517;1003;2020;x
ドリー;7518;BEL;1003;1003;1003;2100;1;2;0;2;0;5;1;L7518;1003;2020;x
デ･ヨーガ;7519;BEL;1003;1003;2100;2100;2;2;9216;2;0;5;1;L7519;1003;2020;x
ヘスボイ;7520;BEL;1003;1003;2100;2100;2;1;0;1;0;5;1;L7520;1003;2020;x
ボディン;7521;BEL;1003;1003;2100;2100;2;3;0;3;0;5;1;L7521;1003;2020;x
ホールマンス;7522;BEL;1003;1003;2100;2100;2;2;4096;2;0;5;1;L7522;1003;2020;x
エフバート;7523;BEL;1003;1003;2100;2100;2;2;0;2;0;5;1;L7523;1003;2020;x
カウハイレー;7524;BEL;1003;1003;2100;2100;2;1;0;1;0;5;1;L7524;1003;2020;x
デルプラット;7525;BEL;1003;1003;2100;2100;2;3;1024;3;0;5;1;L7525;1003;2020;x
ランボア;7526;BEL;1003;1003;2100;2100;2;2;8192;2;0;5;1;L7526;1003;2020;x
ルーブルーク;7527;BEL;1003;1003;2100;2100;2;2;0;2;0;5;1;L7527;1003;2020;x
レンクネヒト;7528;BEL;1003;1003;2100;2100;2;3;4096;3;0;5;1;L7528;1003;2020;x
デ･デッカー;7529;BEL;1003;1003;1003;2100;1;2;20480;2;0;5;2;L7529;1003;2020;x
ヴァン･カーレンバー;7530;BEL;1003;1003;2100;2100;2;3;8192;3;0;5;2;L7530;1003;2020;x
レオナルド;7531;BEL;1003;1003;2100;2100;2;3;131072;3;0;5;2;L7531;1003;2020;x
ヘーセンス;7532;BEL;1003;1003;2100;2100;2;1;0;1;0;5;2;L7532;1003;2020;x
アウドリッツ;7533;BEL;1003;1003;2100;2100;2;3;4096;3;0;5;2;L7533;1003;2020;x
