Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アレクサンダー;52000;CAN;1973;1998;2004;2012;2;5;513;2;0;5;0;L52000;1973;2110;x
アラード;52001;CAN;1973;1998;2004;2012;3;7;4;2;0;5;0;L52001;1973;2110;x
J・F・V・アンダーソン;52002;CAN;1973;1998;2004;2012;3;4;32;1;0;5;0;L52002;1973;2110;x
T・V・アンダーソン;52003;CAN;1973;1998;2004;2012;2;6;35;2;0;5;0;L52003;1973;2110;x
アシュトン;52004;CAN;1973;1998;2004;2012;2;5;1;1;0;5;0;L52004;1973;2110;x
ベルナチェズ;52005;CAN;1973;1998;2004;2012;3;5;4;1;0;5;0;L52005;1973;2110;x
ベヴァン;52006;CAN;1973;1998;2004;2012;3;4;0;1;0;5;0;L52006;1973;2110;x
ビンガム;52007;CAN;1973;1998;2004;2012;3;6;128;1;0;4;0;L52007;1973;2110;x
ブーテ;52008;CAN;1973;1998;2004;2012;2;4;4;2;0;5;0;L52008;1973;2110;x
ブエル;52009;CAN;1973;1998;2004;2012;3;4;128;1;0;5;0;L52009;1973;2110;x
バーンズ;52010;CAN;1973;1998;2004;2012;2;6;128;2;0;5;0;L52010;1973;2110;x
カベルドゥ;52011;CAN;1973;1998;2004;2012;3;6;4;2;0;5;0;L52011;1973;2110;x
カルキン;52012;CAN;1973;1998;2004;2012;3;4;1;1;0;5;0;L52012;1973;2110;x
クレーラー;52013;CAN;1973;1998;2004;2012;1;7;5;3;0;5;0;L52013;1973;2110;x
カリー;52014;CAN;1973;1998;2004;2012;2;5;64;2;0;5;0;L52014;1973;2110;x
エセル;52015;CAN;1973;1998;2004;2012;3;4;0;1;0;5;0;L52015;1973;2110;x
ファーンデール;52016;CAN;1973;1998;2004;2012;2;5;0;2;0;5;0;L52016;1973;2110;x
フォーブス;52017;CAN;1973;1998;2004;2012;3;5;4;1;0;5;0;L52017;1973;2110;x
フォスター;52018;CAN;1973;1998;2004;2012;2;7;130;3;0;5;0;L52018;1973;2110;x
フォークス;52019;CAN;1973;1998;2004;2012;2;7;256;3;0;5;0;L52019;1973;2110;x
ギャモン;52020;CAN;1973;1998;2004;2012;3;4;0;1;0;5;0;L52020;1973;2110;x
ガードナー;52021;CAN;1973;1998;2004;2012;3;4;128;1;0;5;0;L52021;1973;2110;x
ジアネリ;52022;CAN;1973;1998;2004;2012;3;7;128;1;0;5;0;L52022;1973;2110;x
ゴードン;52023;CAN;1973;1998;2004;2012;3;5;256;1;0;5;0;L52023;1973;2110;x
ハーヴェイ;52024;CAN;1973;1998;2004;2012;2;4;544;1;0;5;0;L52024;1973;2110;x
ハーツバーグ;52025;CAN;1973;1998;2004;2012;3;4;32;1;0;5;0;L52025;1973;2110;x
ホッフマイスター;52026;CAN;1973;1998;2004;2012;3;5;0;2;0;5;0;L52026;1973;2110;x
ヒューズ;52027;CAN;1973;1998;2004;2012;3;5;2;1;0;5;0;L52027;1973;2110;x
ハイド;52028;CAN;1973;1998;2004;2012;3;5;128;1;0;5;0;L52028;1973;2110;x
ジェファーソン;52029;CAN;1973;1998;2004;2012;3;6;4;2;0;5;0;L52029;1973;2110;x
キーフラー;52030;CAN;1973;1998;2004;2012;3;4;256;1;0;5;0;L52030;1973;2110;x
ケラー;52031;CAN;1973;1998;2004;2012;2;5;0;1;0;5;0;L52031;1973;2110;x
キッチング;52032;CAN;1973;1998;2004;2012;3;6;128;2;0;5;0;L52032;1973;2110;x
