Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ブラウン;260001;CHC;1930;1990;1990;1990;3;4;64;1;0;4;0;L76300;1930;1939;1999;x
張琴秋（ヂャン・チンチウ）;260002;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76301;1930;1943;1999;x
張国トウ（ヂャン・グオタオ）;260003;CHC;1924;1924;1924;1990;1;4;0;4;0;1;0;L76302;1924;1937;1999;x
張鼎丞（ヂャン・ディンチュヨン）;260004;CHC;1941;1990;1990;1990;3;4;0;1;0;4;0;L76303;1941;1970;1999;x
張雲逸（ヂャン・ユインイー）;260005;CHC;1938;1943;1946;1990;2;4;0;3;0;4;0;L76304;1938;1970;1999;x
趙尚志（ヂャオ・シャンジー）;260006;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76305;1930;1946;1999;x
趙一曼（ヂャオ・イーマン）;260007;CHC;1939;1990;1990;1990;3;5;0;1;0;4;0;L76306;1939;1970;1999;x
陳昌浩（チェン・チャンハオ）;260008;CHC;1930;1930;1939;1990;1;6;0;2;0;4;0;L76307;1930;1970;1999;x
陳庚（チェン・グオン）;260009;CHC;1941;1945;1955;1990;3;4;0;2;0;4;0;312;1941;1961;1999;x
陳光（チェン・グワン）;260010;CHC;1940;1990;1990;1990;3;4;4;1;0;4;0;L76309;1940;1954;1999;x
陳毅（チェン・イー）;260011;CHC;1924;1924;1942;1990;1;7;68;3;0;4;0;313;1924;1970;1999;x
周恩来（ヂョウ・オンライ）;260012;CHC;1924;1924;1924;1990;1;4;1;2;0;4;0;314;1924;1970;1999;x
朱徳（ヂュー・デ）;260013;CHC;1924;1924;1924;1946;1;8;0;4;0;4;0;L76312;1924;1976;1999;x
賀龍（ホー・ロン）;260014;CHC;1927;1937;1990;1990;2;6;0;2;0;3;0;315;1927;1969;1999;x
項英（シアン・イン）;260015;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;316;1930;1941;1999;x
徐海東（シュイ・ハイドン）;260016;CHC;1938;1940;1990;1990;2;4;0;2;0;4;0;317;1938;1970;1999;x
徐向前（シュイ・シャンキアン）;260017;CHC;1940;1943;1990;1990;2;4;0;2;0;4;0;318;1940;1990;1999;x
許光達（シュイ・グワンダー）;260018;CHC;1939;1942;1947;1990;2;5;0;3;0;4;0;L76317;1939;1970;1999;x
