Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ハインツ・ケスラー;507000;DDR;1952;1959;1966;2100;1;7;8192;2;0;5;2;M507007;1952;2000;x
エーリヒ・ミールケ;507001;DDR;1950;1960;1970;2100;1;5;0;0;0;5;0;M507006;1950;2000;x
ホルスト・シュテッヒバルト;507002;DDR;1961;1970;1976;2100;1;6;128;1;0;5;0;M507008;1961;2000;x
フリッツ・シュトレーレッツ;507003;DDR;1964;1969;1979;2100;1;6;2;1;0;5;0;M507040;1964;1983;x
ホルスト・ブリュンナー;507004;DDR;1971;1976;1987;2100;1;6;0;1;0;5;0;L507004;1971;2000;x
ヨアヒム・ゴールドバッハ;507005;DDR;1966;1974;1986;2100;1;6;32;1;0;5;0;L507005;1966;2000;x
フリッツ・ペーター;507006;DDR;1966;1974;1989;2100;1;6;128;1;0;5;0;L507006;1966;2000;x
ヴォルフガング・ラインホルト;507007;DDR;1963;1974;1979;2100;1;7;32768;1;0;5;2;M507010;1963;2000;x
ヘルベルト・シャイベ;507008;DDR;1961;1966;1972;2100;1;6;0;1;0;5;2;M507054;1961;1974;x ♯72年退役
ハインツ・ホフマン;507009;DDR;1946;1952;1959;2100;1;6;17;2;0;5;0;M507036;1946;1985;x
マンフレート・ゲーメルト;507010;DDR;1977;1981;2100;2100;2;6;4;2;0;5;0;L507010;1977;2000;x
ハインツ・ハントケ;507011;DDR;1970;1976;2100;2100;2;6;0;1;0;5;0;L507011;1970;2000;x
クルト・ランゲ;507012;DDR;1966;1970;2100;2100;2;6;128;1;0;5;0;L507012;1966;1974;x
ヘルムート・ポッペ;507013;DDR;1962;1971;2100;2100;2;6;0;1;0;5;0;L507013;1962;1979;x
ホルスト・シュケーラ;507014;DDR;1967;1977;2100;2100;2;6;1;2;0;5;0;M507046;1967;2000;x
ホルスト・シーラ;507015;DDR;1979;1988;2100;2100;2;6;128;1;0;5;0;L507015;1979;2000;x
ヴェルナー・ヴィンター;507016;DDR;1966;1977;2100;2100;2;6;128;1;0;5;0;L507016;1966;2000;x
ヴァルター・アレンシュタイン;507017;DDR;1952;1963;2100;2100;2;6;1;0;0;5;0;L507017;1966;1974;x ♯72年退役
マルティン・ブレック;507018;DDR;1952;1963;2100;2100;2;6;0;1;0;5;0;L507018;1959;1980;x
マンフレート・グレーツ;507019;DDR;1976;1984;2100;2100;2;6;128;1;0;5;0;M507041;1976;2000;x
アルフレート・クラウゼ;507020;DDR;1977;1986;2100;2100;2;6;2;1;0;5;0;L507020;1977;2000;x
ギュンター・ロレンツ;507021;DDR;1983;1989;2100;2100;2;6;128;1;0;5;0;L507021;1983;2000;x
クラウス＝ユルゲン・バールス;507022;DDR;1978;1986;2100;2100;2;6;65536;1;0;5;2;L507022;1978;2000;x
マンフレート・バーテル;507023;DDR;1973;1979;2100;2100;2;6;32768;1;0;5;2;L507023;1973;2000;x
ロルフ・ベルガー;507024;DDR;1984;1988;2100;2100;2;6;0;1;0;5;2;M507055;1984;2000;x
クラウス・ハンケス;507025;DDR;1975;1982;2100;2100;2;5;0;0;0;5;2;L507025;1975;2000;x
ヨアヒム・リヒター;507026;DDR;1971;1981;2100;2100;2;6;0;1;0;5;2;L507026;1971;2000;x
ハンス・シース;507027;DDR;1979;1988;2100;2100;2;6;0;1;0;5;2;L507027;1979;2000;x
ハインツ・トラウシュ;507028;DDR;1974;1981;2100;2100;2;6;8192;1;0;5;2;L507028;1974;2000;x
エーレンフリート・ウルマン;507029;DDR;1980;1987;2100;2100;2;6;0;1;0;5;2;L507029;1980;2000;x
アルフレート・フォーゲル;507030;DDR;1970;1979;2100;2100;2;6;0;1;0;5;2;L507030;1970;2000;x
ギュンター・ケーコウ;507031;DDR;1976;2100;2100;2100;3;6;128;1;0;5;0;L507031;1976;1986;x
クラウス・センフ;507032;DDR;1977;2100;2100;2100;3;5;1;0;0;5;0;L507032;1977;1986;x
オリビエ・アンデルス;507033;DDR;1988;2100;2100;2100;3;5;32;1;0;5;0;L507033;1988;2000;x
エーリヒ・ディルヴェリス;507034;DDR;1972;2100;2100;2100;3;6;128;2;0;5;0;L507034;1972;1984;x
ロタール・エンゲルハルト;507035;DDR;1988;2100;2100;2100;3;6;128;1;0;5;0;M507043;1988;2000;x
フランツ・エルトマン;507036;DDR;1984;2100;2100;2100;3;6;128;1;0;5;0;L507036;1984;2000;x
レオポルト・ゴットヒルフ;507037;DDR;1968;2100;2100;2100;3;6;8;1;0;5;0;L507037;1968;1980;x
