Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
トーマス・オカロル;77000;IRE;1970;1970;2100;2100;2;5;2;1;0;5;0;M25007;1970;1990;x
ペーター・カバナー;77001;IRE;1970;2100;2100;2100;3;5;0;1;0;5;1;M25009;1970;1990;x
ポール・フライ;77002;IRE;1970;2100;2100;2100;3;5;0;0;0;5;2;M25010;1970;2020;x
カール・オサリバン;77003;IRE;1970;1970;2100;2100;2;5;128;1;0;5;0;M25139;1970;1990;x
ルイス・ホーガン;77004;IRE;1970;1980;2100;2100;2;5;0;1;0;5;0;M25140;1970;1990;x
ジェラルド・オサリバン;77005;IRE;1970;1974;2100;2100;2;5;2;1;0;5;0;M25141;1970;1990;x
テッド・オニール;77006;IRE;1970;1986;2100;2100;2;5;64;1;0;5;0;M25142;1970;1990;x
ノエル・バーギン;77007;IRE;1980;1992;2100;2100;2;5;4;1;0;5;0;M25144;1980;2010;x
ジェラルド・マクマホン;77008;IRE;1980;1995;2100;2100;2;5;128;1;0;5;0;M25145;1980;2010;x
デビッド・ステープルトン;77009;IRE;1985;1995;2100;2100;2;5;64;1;0;5;0;M25146;1985;2010;x
コルム・マンガン;77010;IRE;1990;2000;2100;2100;2;5;16;1;0;5;0;M25147;1990;2010;x
ジェームズ・スリーナン;77011;IRE;1990;2004;2100;2100;2;5;1;1;0;5;0;M25148;2000;2010;x
ダーモット・アーリー;77012;IRE;1995;2007;2100;2100;2;5;0;1;0;5;0;M25149;1995;2010;x
ショーン・マッキャン;77013;IRE;2000;2010;2100;2100;2;5;4;1;0;5;0;M25150;2000;2030;x
ノエル・ウィリアムズ;77014;IRE;2000;2100;2100;2100;3;4;0;0;0;5;2;L77014;2000;2030;x
L・S・モロニー;77015;IRE;1970;2100;2100;2100;3;5;8192;1;0;5;1;M25168;1970;1990;x
W・J・ブレット;77016;IRE;1980;2100;2100;2100;3;5;0;1;0;5;1;M25169;1970;1990;x
ジョー・ダーシー;77017;IRE;1990;2100;2100;2100;3;5;2048;1;0;5;1;M25170;1970;1990;x
ジョン・J・カバナー;77018;IRE;1995;2100;2100;2100;3;5;1024;1;0;5;1;M25171;1995;2010;x
マーク・メレット;77019;IRE;2000;2100;2100;2100;3;5;4092;1;0;5;1;M25172;2000;2030;x
ラルフ・ジェームズ;77020;IRE;1970;2100;2100;2100;3;5;16384;0;0;2;2;M25018;1970;2030;x
コナー・オボイル;77021;IRE;2000;2100;2100;2100;3;5;2;0;0;2;0;L77021;2000;2030;x
コルム・キャンベル;77022;IRE;2000;2100;2100;2100;3;5;1;0;0;2;0;L77022;2000;2030;x
デリー・フィッツジェラルド;77023;IRE;2000;2100;2100;2100;3;5;32;0;0;2;0;L77023;2000;2030;x
マイケル・フィン;77024;IRE;2000;2100;2100;2100;3;5;0;0;0;2;0;L77024;2000;2030;x
シェームズ・オジョライン;77025;IRE;2000;2100;2100;2100;3;5;256;0;0;2;0;L77025;2000;2030;x
フランク・リンチ;77026;IRE;2000;2100;2100;2100;3;5;65536;0;0;2;1;L77026;2000;2030;x
ロビンソン;77027;IRE;2000;2100;2100;2100;3;5;0;0;0;2;1;L77027;2000;2030;x
ジェイソン・バーン;77028;IRE;2000;2100;2100;2100;3;5;0;0;0;2;2;L77028;2000;2030;x
