Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Andrews;58000;NZL;1973;1998;2004;2012;3;4;0;1;0;5;0;L58000;1973;2110;x
Awatere;58001;NZL;1973;1998;2004;2012;3;5;16;1;0;5;0;L58001;1973;2110;x
Barrowclough;58002;NZL;1973;1998;2004;2012;3;5;4;2;0;5;0;L58002;1973;2110;x
Burrows;58003;NZL;1973;1998;2004;2012;3;4;0;1;0;5;0;L58003;1973;2110;x
Clifton;58004;NZL;1973;1998;2004;2012;3;3;32;1;0;5;0;L58004;1973;2110;x
Cunningham;58005;NZL;1973;1998;2004;2012;3;3;0;1;0;5;0;L58005;1973;2110;x
Duigan;58006;NZL;1973;1998;2004;2012;2;4;2;1;0;5;0;L58006;1973;2110;x
Falconer;58007;NZL;1973;1998;2004;2012;3;4;4;1;0;5;0;L58007;1973;2110;x
Falla;58008;NZL;1973;1998;2004;2012;2;2;1;1;0;5;0;L58008;1973;2110;x
Fitzgerald;58009;NZL;1973;1998;2004;2012;3;4;256;1;0;5;0;L58009;1973;2110;x
Freyberg;58010;NZL;1973;1998;2004;2012;1;8;5;4;0;5;0;L58010;1973;2110;x
Gentry;58011;NZL;1973;1998;2004;2012;2;5;64;1;0;5;0;L58011;1973;2110;x
Goss;58012;NZL;1973;1998;2004;2012;3;4;0;1;0;5;0;L58012;1973;2110;x
Hanson;58013;NZL;1973;1998;2004;2012;3;5;33;1;0;5;0;L58013;1973;2110;x
Hargest;58014;NZL;1973;1998;2004;2012;3;3;64;1;0;5;0;L58014;1973;2110;x
Hunt;58015;NZL;1973;1998;2004;2012;3;4;0;1;0;5;0;L58015;1973;2110;x
Inglis;58016;NZL;1973;1998;2004;2012;2;5;128;2;0;5;0;L58016;1973;2110;x
Jameson;58017;NZL;1973;1998;2004;2012;3;4;256;1;0;5;0;L58017;1973;2110;x
Kenrick;58018;NZL;1973;1998;2004;2012;3;4;1;1;0;5;0;L58018;1973;2110;x
Kippenberger;58019;NZL;1973;1998;2004;2012;3;5;4;2;0;5;0;L58019;1973;2110;x
Mason;58020;NZL;1973;1998;2004;2012;3;3;0;1;0;5;0;L58020;1973;2110;x
McKenzie;58021;NZL;1973;1998;2004;2012;3;4;256;1;0;5;0;L58021;1973;2110;x
Mead;58022;NZL;1973;1998;2004;2012;2;4;514;1;0;5;0;L58022;1973;2110;x
Miles;58023;NZL;1973;1998;2004;2012;3;4;64;1;0;5;0;L58023;1973;2110;x
Mitchell;58024;NZL;1973;1998;2004;2012;3;4;32;1;0;5;0;L58024;1973;2110;x
Nichols;58025;NZL;1973;1998;2004;2012;2;5;512;1;0;5;0;L58025;1973;2110;x
Park;58026;NZL;1973;1998;2004;2012;2;4;0;2;0;5;0;L58026;1973;2110;x
Parkinson;58027;NZL;1973;1998;2004;2012;3;6;192;2;0;5;0;L58027;1973;2110;x
Peren;58028;NZL;1973;1998;2004;2012;3;5;256;1;0;5;0;L58028;1973;2110;x
Pleasants;58029;NZL;1973;1998;2004;2012;3;4;4;1;0;5;0;L58029;1973;2110;x
Porritt;58030;NZL;1973;1998;2004;2012;3;5;0;1;0;5;0;L58030;1973;2110;x
Puttick;58031;NZL;1973;1998;2004;2012;2;5;514;1;0;5;0;L58031;1973;2110;x
Queree;58032;NZL;1973;1998;2004;2012;3;4;2;1;0;5;0;L58032;1973;2110;x
Romans;58033;NZL;1973;1998;2004;2012;3;4;1;1;0;5;0;L58033;1973;2110;x
Row;58034;NZL;1973;1998;2004;2012;3;3;0;1;0;5;0;L58034;1973;2110;x
Russell;58035;NZL;1973;1998;2004;2012;2;4;0;1;0;5;0;L58035;1973;2110;x
